gene_pair	Spearman	Pos/Neg	gene1_symbol	gene2_symbol	gene1_name	gene2_name
('ENSG00000223865', 'ENSG00000231389')	0.8870085582152097	1	HLA-DPB1	HLA-DPA1	major histocompatibility complex, class II, DP beta 1	major histocompatibility complex, class II, DP alpha 1
('ENSG00000142676', 'ENSG00000156482')	0.8865311748133216	1	RPL11	RPL30	ribosomal protein L11	ribosomal protein L30
('ENSG00000171863', 'ENSG00000188846')	0.8857197579244087	1	RPS7	RPL14	ribosomal protein S7	ribosomal protein L14
('ENSG00000198727', 'ENSG00000198840')	0.8852631931584128	1	MT-CYB	MT-ND3	mitochondrially encoded cytochrome b	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
('ENSG00000108298', 'ENSG00000109475')	0.8849968076000739	1	RPL19	RPL34	ribosomal protein L19	ribosomal protein L34
('ENSG00000198840', 'ENSG00000198938')	0.8836206136372677	1	MT-ND3	MT-CO3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	mitochondrially encoded cytochrome c oxidase III
('ENSG00000164587', 'ENSG00000182899')	0.8836190164262092	1	RPS14	RPL35A	ribosomal protein S14	ribosomal protein L35a
('ENSG00000198840', 'ENSG00000198899')	0.8834695328908625	1	MT-ND3	MT-ATP6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000198727', 'ENSG00000198804')	0.8817321793445919	1	MT-CYB	MT-CO1	mitochondrially encoded cytochrome b	mitochondrially encoded cytochrome c oxidase I
('ENSG00000198886', 'ENSG00000198938')	0.8810382339593815	1	MT-ND4	MT-CO3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	mitochondrially encoded cytochrome c oxidase III
('ENSG00000109475', 'ENSG00000134419')	0.8809195035766395	1	RPL34	RPS15A	ribosomal protein L34	ribosomal protein S15a
('ENSG00000198888', 'ENSG00000198899')	0.8800893539840695	1	MT-ND1	MT-ATP6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000164587', 'ENSG00000177954')	0.8798891848427306	1	RPS14	RPS27	ribosomal protein S14	ribosomal protein S27
('ENSG00000109475', 'ENSG00000142676')	0.8797380642935724	1	RPL34	RPL11	ribosomal protein L34	ribosomal protein L11
('ENSG00000143947', 'ENSG00000164587')	0.8793409216781569	1	RPS27A	RPS14	ribosomal protein S27a	ribosomal protein S14
('ENSG00000144713', 'ENSG00000164587')	0.8789373538558517	1	RPL32	RPS14	ribosomal protein L32	ribosomal protein S14
('ENSG00000109475', 'ENSG00000182899')	0.8784057810475864	1	RPL34	RPL35A	ribosomal protein L34	ribosomal protein L35a
('ENSG00000105372', 'ENSG00000109475')	0.8783693377216695	1	RPS19	RPL34	ribosomal protein S19	ribosomal protein L34
('ENSG00000108298', 'ENSG00000145425')	0.8779370059015166	1	RPL19	RPS3A	ribosomal protein L19	ribosomal protein S3A
('ENSG00000198727', 'ENSG00000198888')	0.8777396834536704	1	MT-CYB	MT-ND1	mitochondrially encoded cytochrome b	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
('ENSG00000108298', 'ENSG00000164587')	0.8777297507216724	1	RPL19	RPS14	ribosomal protein L19	ribosomal protein S14
('ENSG00000108298', 'ENSG00000144713')	0.8776866224970745	1	RPL19	RPL32	ribosomal protein L19	ribosomal protein L32
('ENSG00000174748', 'ENSG00000182899')	0.8770029179144979	1	RPL15	RPL35A	ribosomal protein L15	ribosomal protein L35a
('ENSG00000198763', 'ENSG00000198888')	0.8765973138386589	1	MT-ND2	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
('ENSG00000134419', 'ENSG00000144713')	0.8765292558466262	1	RPS15A	RPL32	ribosomal protein S15a	ribosomal protein L32
('ENSG00000109475', 'ENSG00000143947')	0.8762938010513087	1	RPL34	RPS27A	ribosomal protein L34	ribosomal protein S27a
('ENSG00000109475', 'ENSG00000177954')	0.8762808787177296	1	RPL34	RPS27	ribosomal protein L34	ribosomal protein S27
('ENSG00000063177', 'ENSG00000171863')	0.8754167346587287	1	RPL18	RPS7	ribosomal protein L18	ribosomal protein S7
('ENSG00000115268', 'ENSG00000164587')	0.8749258621743475	1	RPS15	RPS14	ribosomal protein S15	ribosomal protein S14
('ENSG00000206503', 'ENSG00000234745')	0.874489045193895	1	HLA-A	HLA-B	major histocompatibility complex, class I, A	major histocompatibility complex, class I, B
('ENSG00000134419', 'ENSG00000182899')	0.8744334322337273	1	RPS15A	RPL35A	ribosomal protein S15a	ribosomal protein L35a
('ENSG00000134419', 'ENSG00000142676')	0.8743591725170786	1	RPS15A	RPL11	ribosomal protein S15a	ribosomal protein L11
('ENSG00000134419', 'ENSG00000186468')	0.874166180120446	1	RPS15A	RPS23	ribosomal protein S15a	ribosomal protein S23
('ENSG00000109475', 'ENSG00000110700')	0.8740871430143086	1	RPL34	RPS13	ribosomal protein L34	ribosomal protein S13
('ENSG00000198712', 'ENSG00000198840')	0.8739695852444096	1	MT-CO2	MT-ND3	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
('ENSG00000143947', 'ENSG00000182899')	0.873899342340817	1	RPS27A	RPL35A	ribosomal protein S27a	ribosomal protein L35a
('ENSG00000198763', 'ENSG00000198886')	0.8735767471689562	1	MT-ND2	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
('ENSG00000115268', 'ENSG00000144713')	0.8731854774692639	1	RPS15	RPL32	ribosomal protein S15	ribosomal protein L32
('ENSG00000142937', 'ENSG00000171863')	0.8728777170190422	1	RPS8	RPS7	ribosomal protein S8	ribosomal protein S7
('ENSG00000144713', 'ENSG00000186468')	0.8728489137966142	1	RPL32	RPS23	ribosomal protein L32	ribosomal protein S23
('ENSG00000142937', 'ENSG00000233927')	0.8724554351956285	1	RPS8	RPS28	ribosomal protein S8	ribosomal protein S28
('ENSG00000108298', 'ENSG00000156482')	0.8724375342437399	1	RPL19	RPL30	ribosomal protein L19	ribosomal protein L30
('ENSG00000108298', 'ENSG00000161016')	0.8722202170235882	1	RPL19	RPL8	ribosomal protein L19	ribosomal protein L8
('ENSG00000144713', 'ENSG00000167526')	0.8718933508311687	1	RPL32	RPL13	ribosomal protein L32	ribosomal protein L13
('ENSG00000143947', 'ENSG00000156482')	0.8715255543316985	1	RPS27A	RPL30	ribosomal protein S27a	ribosomal protein L30
('ENSG00000108298', 'ENSG00000182899')	0.8712749914277479	1	RPL19	RPL35A	ribosomal protein L19	ribosomal protein L35a
('ENSG00000142937', 'ENSG00000186468')	0.8711975565291872	1	RPS8	RPS23	ribosomal protein S8	ribosomal protein S23
('ENSG00000108298', 'ENSG00000149273')	0.8710959404048083	1	RPL19	RPS3	ribosomal protein L19	ribosomal protein S3
('ENSG00000109475', 'ENSG00000233927')	0.8710446046676472	1	RPL34	RPS28	ribosomal protein L34	ribosomal protein S28
('ENSG00000156482', 'ENSG00000182899')	0.8709188644980166	1	RPL30	RPL35A	ribosomal protein L30	ribosomal protein L35a
('ENSG00000109475', 'ENSG00000137154')	0.8706427046288768	1	RPL34	RPS6	ribosomal protein L34	ribosomal protein S6
('ENSG00000137154', 'ENSG00000144713')	0.8703738609024367	1	RPS6	RPL32	ribosomal protein S6	ribosomal protein L32
('ENSG00000144713', 'ENSG00000145425')	0.870214284584295	1	RPL32	RPS3A	ribosomal protein L32	ribosomal protein S3A
('ENSG00000108298', 'ENSG00000143947')	0.8696716051525446	1	RPL19	RPS27A	ribosomal protein L19	ribosomal protein S27a
('ENSG00000108298', 'ENSG00000142676')	0.8695318784819333	1	RPL19	RPL11	ribosomal protein L19	ribosomal protein L11
('ENSG00000137154', 'ENSG00000164587')	0.869278580643341	1	RPS6	RPS14	ribosomal protein S6	ribosomal protein S14
('ENSG00000144713', 'ENSG00000182899')	0.8690243597176999	1	RPL32	RPL35A	ribosomal protein L32	ribosomal protein L35a
('ENSG00000149273', 'ENSG00000164587')	0.8688870753254389	1	RPS3	RPS14	ribosomal protein S3	ribosomal protein S14
('ENSG00000089009', 'ENSG00000110700')	0.8688008003404697	1	RPL6	RPS13	ribosomal protein L6	ribosomal protein S13
('ENSG00000089009', 'ENSG00000134419')	0.8687583827351386	1	RPL6	RPS15A	ribosomal protein L6	ribosomal protein S15a
('ENSG00000198804', 'ENSG00000198899')	0.868657479647473	0	MT-CO1	MT-ATP6	mitochondrially encoded cytochrome c oxidase I	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000112306', 'ENSG00000144713')	0.8685018406318863	1	RPS12	RPL32	ribosomal protein S12	ribosomal protein L32
('ENSG00000142676', 'ENSG00000164587')	0.8684725970454461	1	RPL11	RPS14	ribosomal protein L11	ribosomal protein S14
('ENSG00000164587', 'ENSG00000174748')	0.868297565026262	1	RPS14	RPL15	ribosomal protein S14	ribosomal protein L15
('ENSG00000109475', 'ENSG00000145425')	0.8682560155020151	1	RPL34	RPS3A	ribosomal protein L34	ribosomal protein S3A
('ENSG00000134419', 'ENSG00000233927')	0.8678663105121694	1	RPS15A	RPS28	ribosomal protein S15a	ribosomal protein S28
('ENSG00000108298', 'ENSG00000130255')	0.8677950842757588	1	RPL19	RPL36	ribosomal protein L19	ribosomal protein L36
('ENSG00000110700', 'ENSG00000145425')	0.8674120543722748	1	RPS13	RPS3A	ribosomal protein S13	ribosomal protein S3A
('ENSG00000196126', 'ENSG00000204287')	0.8673591930945751	1	HLA-DRB1	HLA-DRA	major histocompatibility complex, class II, DR beta 1	major histocompatibility complex, class II, DR alpha
('ENSG00000105372', 'ENSG00000164587')	0.8672650245453916	1	RPS19	RPS14	ribosomal protein S19	ribosomal protein S14
('ENSG00000134419', 'ENSG00000149273')	0.8671774894184717	1	RPS15A	RPS3	ribosomal protein S15a	ribosomal protein S3
('ENSG00000108107', 'ENSG00000142937')	0.8670803264308868	1	RPL28	RPS8	ribosomal protein L28	ribosomal protein S8
('ENSG00000143947', 'ENSG00000177954')	0.8669597710331214	1	RPS27A	RPS27	ribosomal protein S27a	ribosomal protein S27
('ENSG00000063177', 'ENSG00000188846')	0.8669578153694794	1	RPL18	RPL14	ribosomal protein L18	ribosomal protein L14
('ENSG00000196126', 'ENSG00000231389')	0.8669552878970052	1	HLA-DRB1	HLA-DPA1	major histocompatibility complex, class II, DR beta 1	major histocompatibility complex, class II, DP alpha 1
('ENSG00000109475', 'ENSG00000115268')	0.8667457956716849	1	RPL34	RPS15	ribosomal protein L34	ribosomal protein S15
('ENSG00000108298', 'ENSG00000142937')	0.8663438683159579	1	RPL19	RPS8	ribosomal protein L19	ribosomal protein S8
('ENSG00000137818', 'ENSG00000143947')	0.8663329141087713	1	RPLP1	RPS27A	ribosomal protein lateral stalk subunit P1	ribosomal protein S27a
('ENSG00000171863', 'ENSG00000233927')	0.8663144451200192	1	RPS7	RPS28	ribosomal protein S7	ribosomal protein S28
('ENSG00000089009', 'ENSG00000171863')	0.866253524382825	1	RPL6	RPS7	ribosomal protein L6	ribosomal protein S7
('ENSG00000109475', 'ENSG00000149273')	0.8659858084235578	1	RPL34	RPS3	ribosomal protein L34	ribosomal protein S3
('ENSG00000089009', 'ENSG00000174748')	0.8658207067053488	1	RPL6	RPL15	ribosomal protein L6	ribosomal protein L15
('ENSG00000156482', 'ENSG00000186468')	0.8656818276720915	1	RPL30	RPS23	ribosomal protein L30	ribosomal protein S23
('ENSG00000109475', 'ENSG00000112306')	0.8656053876917124	1	RPL34	RPS12	ribosomal protein L34	ribosomal protein S12
('ENSG00000204525', 'ENSG00000206503')	0.8653584195506461	1	HLA-C	HLA-A	major histocompatibility complex, class I, C	major histocompatibility complex, class I, A
('ENSG00000138326', 'ENSG00000145592')	0.8653580116611898	1	RPS24	RPL37	ribosomal protein S24	ribosomal protein L37
('ENSG00000143947', 'ENSG00000198034')	0.865321971456482	1	RPS27A	RPS4X	ribosomal protein S27a	ribosomal protein S4 X-linked
('ENSG00000145425', 'ENSG00000164587')	0.8652142353641323	1	RPS3A	RPS14	ribosomal protein S3A	ribosomal protein S14
('ENSG00000134419', 'ENSG00000156482')	0.8651143996406062	1	RPS15A	RPL30	ribosomal protein S15a	ribosomal protein L30
('ENSG00000105193', 'ENSG00000137154')	0.8650392628694231	1	RPS16	RPS6	ribosomal protein S16	ribosomal protein S6
('ENSG00000083845', 'ENSG00000204628')	0.8649789197182616	1	RPS5	RACK1	ribosomal protein S5	receptor for activated C kinase 1
('ENSG00000142676', 'ENSG00000143947')	0.8649693021269677	1	RPL11	RPS27A	ribosomal protein L11	ribosomal protein S27a
('ENSG00000115268', 'ENSG00000167526')	0.8647135337288089	1	RPS15	RPL13	ribosomal protein S15	ribosomal protein L13
('ENSG00000138326', 'ENSG00000182899')	0.8645967799045656	1	RPS24	RPL35A	ribosomal protein S24	ribosomal protein L35a
('ENSG00000109475', 'ENSG00000147403')	0.8645943822922002	1	RPL34	RPL10	ribosomal protein L34	ribosomal protein L10
('ENSG00000089009', 'ENSG00000142937')	0.864405325894865	1	RPL6	RPS8	ribosomal protein L6	ribosomal protein S8
('ENSG00000142676', 'ENSG00000144713')	0.8641342242778912	1	RPL11	RPL32	ribosomal protein L11	ribosomal protein L32
('ENSG00000109475', 'ENSG00000167526')	0.8641173965487594	1	RPL34	RPL13	ribosomal protein L34	ribosomal protein L13
('ENSG00000137818', 'ENSG00000164587')	0.8638729478184975	1	RPLP1	RPS14	ribosomal protein lateral stalk subunit P1	ribosomal protein S14
('ENSG00000156482', 'ENSG00000164587')	0.8635227659811869	1	RPL30	RPS14	ribosomal protein L30	ribosomal protein S14
('ENSG00000145425', 'ENSG00000156482')	0.8635126616143773	1	RPS3A	RPL30	ribosomal protein S3A	ribosomal protein L30
('ENSG00000089009', 'ENSG00000108298')	0.8635003442918687	1	RPL6	RPL19	ribosomal protein L6	ribosomal protein L19
('ENSG00000108107', 'ENSG00000233927')	0.863481241879238	1	RPL28	RPS28	ribosomal protein L28	ribosomal protein S28
('ENSG00000108298', 'ENSG00000186468')	0.8634638596879721	1	RPL19	RPS23	ribosomal protein L19	ribosomal protein S23
('ENSG00000089009', 'ENSG00000138326')	0.863457477921843	1	RPL6	RPS24	ribosomal protein L6	ribosomal protein S24
('ENSG00000108298', 'ENSG00000233927')	0.8634462689855663	1	RPL19	RPS28	ribosomal protein L19	ribosomal protein S28
('ENSG00000145592', 'ENSG00000233927')	0.863399584160063	1	RPL37	RPS28	ribosomal protein L37	ribosomal protein S28
('ENSG00000134419', 'ENSG00000145592')	0.8633001344973817	1	RPS15A	RPL37	ribosomal protein S15a	ribosomal protein L37
('ENSG00000115268', 'ENSG00000143947')	0.8632880387800894	1	RPS15	RPS27A	ribosomal protein S15	ribosomal protein S27a
('ENSG00000163682', 'ENSG00000164587')	0.8631750554593893	1	RPL9	RPS14	ribosomal protein L9	ribosomal protein S14
('ENSG00000063177', 'ENSG00000089009')	0.8631104843332856	1	RPL18	RPL6	ribosomal protein L18	ribosomal protein L6
('ENSG00000110700', 'ENSG00000134419')	0.8629984332173236	1	RPS13	RPS15A	ribosomal protein S13	ribosomal protein S15a
('ENSG00000143947', 'ENSG00000149273')	0.8628647874524681	1	RPS27A	RPS3	ribosomal protein S27a	ribosomal protein S3
('ENSG00000137154', 'ENSG00000177600')	0.8627588626307006	1	RPS6	RPLP2	ribosomal protein S6	ribosomal protein lateral stalk subunit P2
('ENSG00000112306', 'ENSG00000142676')	0.862603570421258	1	RPS12	RPL11	ribosomal protein S12	ribosomal protein L11
('ENSG00000134419', 'ENSG00000142937')	0.862412875001212	1	RPS15A	RPS8	ribosomal protein S15a	ribosomal protein S8
('ENSG00000115268', 'ENSG00000174748')	0.8623607312299199	1	RPS15	RPL15	ribosomal protein S15	ribosomal protein L15
('ENSG00000108298', 'ENSG00000174748')	0.8622849681120237	1	RPL19	RPL15	ribosomal protein L19	ribosomal protein L15
('ENSG00000137154', 'ENSG00000198242')	0.862205752697469	1	RPS6	RPL23A	ribosomal protein S6	ribosomal protein L23a
('ENSG00000149273', 'ENSG00000198242')	0.86215700431817	1	RPS3	RPL23A	ribosomal protein S3	ribosomal protein L23a
('ENSG00000148303', 'ENSG00000188846')	0.8621531410281176	1	RPL7A	RPL14	ribosomal protein L7a	ribosomal protein L14
('ENSG00000144713', 'ENSG00000149273')	0.8619925358047681	1	RPL32	RPS3	ribosomal protein L32	ribosomal protein S3
('ENSG00000164587', 'ENSG00000177600')	0.8619671135623319	1	RPS14	RPLP2	ribosomal protein S14	ribosomal protein lateral stalk subunit P2
('ENSG00000109475', 'ENSG00000174748')	0.8617984190097401	1	RPL34	RPL15	ribosomal protein L34	ribosomal protein L15
('ENSG00000142676', 'ENSG00000167526')	0.8617940649145768	1	RPL11	RPL13	ribosomal protein L11	ribosomal protein L13
('ENSG00000100316', 'ENSG00000143947')	0.8617708897380941	1	RPL3	RPS27A	ribosomal protein L3	ribosomal protein S27a
('ENSG00000143947', 'ENSG00000177600')	0.8617129594349763	1	RPS27A	RPLP2	ribosomal protein S27a	ribosomal protein lateral stalk subunit P2
('ENSG00000108298', 'ENSG00000134419')	0.8617003643857847	1	RPL19	RPS15A	ribosomal protein L19	ribosomal protein S15a
('ENSG00000149273', 'ENSG00000182899')	0.8616485999502665	1	RPS3	RPL35A	ribosomal protein S3	ribosomal protein L35a
('ENSG00000142676', 'ENSG00000182899')	0.8616025148185098	1	RPL11	RPL35A	ribosomal protein L11	ribosomal protein L35a
('ENSG00000137154', 'ENSG00000149273')	0.8615333950642003	1	RPS6	RPS3	ribosomal protein S6	ribosomal protein S3
('ENSG00000109475', 'ENSG00000156482')	0.8615055338268232	1	RPL34	RPL30	ribosomal protein L34	ribosomal protein L30
('ENSG00000108298', 'ENSG00000110700')	0.8613920536065346	1	RPL19	RPS13	ribosomal protein L19	ribosomal protein S13
('ENSG00000143947', 'ENSG00000147403')	0.8613792828749296	1	RPS27A	RPL10	ribosomal protein S27a	ribosomal protein L10
('ENSG00000156482', 'ENSG00000177600')	0.8613627099073123	1	RPL30	RPLP2	ribosomal protein L30	ribosomal protein lateral stalk subunit P2
('ENSG00000164587', 'ENSG00000229117')	0.8612896513158166	1	RPS14	RPL41	ribosomal protein S14	ribosomal protein L41
('ENSG00000063177', 'ENSG00000108298')	0.8612711763808558	1	RPL18	RPL19	ribosomal protein L18	ribosomal protein L19
('ENSG00000115268', 'ENSG00000182899')	0.8612456038580719	1	RPS15	RPL35A	ribosomal protein S15	ribosomal protein L35a
('ENSG00000100316', 'ENSG00000137154')	0.8610812290382202	1	RPL3	RPS6	ribosomal protein L3	ribosomal protein S6
('ENSG00000145425', 'ENSG00000149273')	0.8610392334660323	1	RPS3A	RPS3	ribosomal protein S3A	ribosomal protein S3
('ENSG00000134419', 'ENSG00000164587')	0.8609403604777135	1	RPS15A	RPS14	ribosomal protein S15a	ribosomal protein S14
('ENSG00000163682', 'ENSG00000174748')	0.8609162424298575	1	RPL9	RPL15	ribosomal protein L9	ribosomal protein L15
('ENSG00000182899', 'ENSG00000198034')	0.8608475981952193	1	RPL35A	RPS4X	ribosomal protein L35a	ribosomal protein S4 X-linked
('ENSG00000149273', 'ENSG00000174748')	0.8606812584967404	1	RPS3	RPL15	ribosomal protein S3	ribosomal protein L15
('ENSG00000198840', 'ENSG00000198888')	0.8605208092443709	1	MT-ND3	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
('ENSG00000142937', 'ENSG00000188846')	0.8603981761651843	1	RPS8	RPL14	ribosomal protein S8	ribosomal protein L14
('ENSG00000112306', 'ENSG00000164587')	0.8603747480078522	1	RPS12	RPS14	ribosomal protein S12	ribosomal protein S14
('ENSG00000143947', 'ENSG00000174748')	0.860314625402345	1	RPS27A	RPL15	ribosomal protein S27a	ribosomal protein L15
('ENSG00000110700', 'ENSG00000171863')	0.8602782800868994	1	RPS13	RPS7	ribosomal protein S13	ribosomal protein S7
('ENSG00000134419', 'ENSG00000143947')	0.8601944686954942	1	RPS15A	RPS27A	ribosomal protein S15a	ribosomal protein S27a
('ENSG00000145592', 'ENSG00000182899')	0.860127622276894	1	RPL37	RPL35A	ribosomal protein L37	ribosomal protein L35a
('ENSG00000142937', 'ENSG00000144713')	0.8601020979531796	1	RPS8	RPL32	ribosomal protein S8	ribosomal protein L32
('ENSG00000112306', 'ENSG00000156482')	0.8600095116432932	1	RPS12	RPL30	ribosomal protein S12	ribosomal protein L30
('ENSG00000145425', 'ENSG00000163682')	0.8597876489833252	1	RPS3A	RPL9	ribosomal protein S3A	ribosomal protein L9
('ENSG00000105193', 'ENSG00000198755')	0.859771003305812	1	RPS16	RPL10A	ribosomal protein S16	ribosomal protein L10a
('ENSG00000109475', 'ENSG00000137818')	0.8597049506735888	1	RPL34	RPLP1	ribosomal protein L34	ribosomal protein lateral stalk subunit P1
('ENSG00000109475', 'ENSG00000142937')	0.8596076784165403	1	RPL34	RPS8	ribosomal protein L34	ribosomal protein S8
('ENSG00000143947', 'ENSG00000145425')	0.8595794997306647	1	RPS27A	RPS3A	ribosomal protein S27a	ribosomal protein S3A
('ENSG00000130255', 'ENSG00000182899')	0.8595741347804042	1	RPL36	RPL35A	ribosomal protein L36	ribosomal protein L35a
('ENSG00000130255', 'ENSG00000144713')	0.8593930066184939	1	RPL36	RPL32	ribosomal protein L36	ribosomal protein L32
('ENSG00000130255', 'ENSG00000136942')	0.8593345091180149	1	RPL36	RPL35	ribosomal protein L36	ribosomal protein L35
('ENSG00000148303', 'ENSG00000171863')	0.8592605160157996	1	RPL7A	RPS7	ribosomal protein L7a	ribosomal protein S7
('ENSG00000110700', 'ENSG00000182899')	0.8591595762870826	1	RPS13	RPL35A	ribosomal protein S13	ribosomal protein L35a
('ENSG00000130255', 'ENSG00000186468')	0.8589585279986918	1	RPL36	RPS23	ribosomal protein L36	ribosomal protein S23
('ENSG00000134419', 'ENSG00000171863')	0.8588994702482133	1	RPS15A	RPS7	ribosomal protein S15a	ribosomal protein S7
('ENSG00000089009', 'ENSG00000109475')	0.858804839121372	1	RPL6	RPL34	ribosomal protein L6	ribosomal protein L34
('ENSG00000138326', 'ENSG00000142676')	0.858761597483964	1	RPS24	RPL11	ribosomal protein S24	ribosomal protein L11
('ENSG00000115268', 'ENSG00000149273')	0.858754676875457	1	RPS15	RPS3	ribosomal protein S15	ribosomal protein S3
('ENSG00000108298', 'ENSG00000112306')	0.8587319803378924	1	RPL19	RPS12	ribosomal protein L19	ribosomal protein S12
('ENSG00000171863', 'ENSG00000198034')	0.8587012008178179	1	RPS7	RPS4X	ribosomal protein S7	ribosomal protein S4 X-linked
('ENSG00000105372', 'ENSG00000143947')	0.8586387085361721	1	RPS19	RPS27A	ribosomal protein S19	ribosomal protein S27a
('ENSG00000164587', 'ENSG00000167526')	0.8585982582861298	1	RPS14	RPL13	ribosomal protein S14	ribosomal protein L13
('ENSG00000134419', 'ENSG00000138326')	0.8585445042445515	1	RPS15A	RPS24	ribosomal protein S15a	ribosomal protein S24
('ENSG00000108298', 'ENSG00000171863')	0.8584838463735144	1	RPL19	RPS7	ribosomal protein L19	ribosomal protein S7
('ENSG00000144713', 'ENSG00000156482')	0.8584408692179112	1	RPL32	RPL30	ribosomal protein L32	ribosomal protein L30
('ENSG00000142937', 'ENSG00000182899')	0.8583050595326561	1	RPS8	RPL35A	ribosomal protein S8	ribosomal protein L35a
('ENSG00000145592', 'ENSG00000156482')	0.8582257219470301	1	RPL37	RPL30	ribosomal protein L37	ribosomal protein L30
('ENSG00000163682', 'ENSG00000197756')	0.858195138641355	1	RPL9	RPL37A	ribosomal protein L9	ribosomal protein L37a
('ENSG00000105372', 'ENSG00000144713')	0.8581907260112303	1	RPS19	RPL32	ribosomal protein S19	ribosomal protein L32
('ENSG00000108107', 'ENSG00000171863')	0.8581407266726281	1	RPL28	RPS7	ribosomal protein L28	ribosomal protein S7
('ENSG00000130255', 'ENSG00000164587')	0.8580463397920154	1	RPL36	RPS14	ribosomal protein L36	ribosomal protein S14
('ENSG00000108107', 'ENSG00000108298')	0.8579775773471279	1	RPL28	RPL19	ribosomal protein L28	ribosomal protein L19
('ENSG00000156482', 'ENSG00000171863')	0.8579399556283851	1	RPL30	RPS7	ribosomal protein L30	ribosomal protein S7
('ENSG00000108298', 'ENSG00000137154')	0.8578246859939737	1	RPL19	RPS6	ribosomal protein L19	ribosomal protein S6
('ENSG00000110700', 'ENSG00000174748')	0.8578035563743514	1	RPS13	RPL15	ribosomal protein S13	ribosomal protein L15
('ENSG00000145425', 'ENSG00000174748')	0.8577081646814029	1	RPS3A	RPL15	ribosomal protein S3A	ribosomal protein L15
('ENSG00000134419', 'ENSG00000145425')	0.8575871399095553	1	RPS15A	RPS3A	ribosomal protein S15a	ribosomal protein S3A
('ENSG00000145425', 'ENSG00000186468')	0.8575193647949739	1	RPS3A	RPS23	ribosomal protein S3A	ribosomal protein S23
('ENSG00000108298', 'ENSG00000177954')	0.8574851058145562	1	RPL19	RPS27	ribosomal protein L19	ribosomal protein S27
