gene_pair	Spearman	Pos/Neg	gene1_symbol	gene2_symbol	gene1_name	gene2_name
('ENSG00000198712', 'ENSG00000198938')	0.9305114961321003	1	MT-CO2	MT-CO3	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198712', 'ENSG00000198804')	0.9263622655045523	1	MT-CO2	MT-CO1	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded cytochrome c oxidase I
('ENSG00000198804', 'ENSG00000198938')	0.9190419255233276	1	MT-CO1	MT-CO3	mitochondrially encoded cytochrome c oxidase I	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198899', 'ENSG00000198938')	0.9150874736052882	0	MT-ATP6	MT-CO3	mitochondrially encoded ATP synthase membrane subunit 6	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198727', 'ENSG00000198899')	0.9144907187630639	1	MT-CYB	MT-ATP6	mitochondrially encoded cytochrome b	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000198727', 'ENSG00000198938')	0.9132235674094442	1	MT-CYB	MT-CO3	mitochondrially encoded cytochrome b	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198712', 'ENSG00000198727')	0.9084448480281763	1	MT-CO2	MT-CYB	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded cytochrome b
('ENSG00000212907', 'ENSG00000228253')	0.8988170260810889	1	MT-ND4L	MT-ATP8	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	mitochondrially encoded ATP synthase membrane subunit 8
('ENSG00000109475', 'ENSG00000144713')	0.8982504329894351	1	RPL34	RPL32	ribosomal protein L34	ribosomal protein L32
('ENSG00000109475', 'ENSG00000164587')	0.898091502925355	1	RPL34	RPS14	ribosomal protein L34	ribosomal protein S14
('ENSG00000198712', 'ENSG00000198899')	0.8921790982102399	0	MT-CO2	MT-ATP6	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000198886', 'ENSG00000198899')	0.8917359092101408	1	MT-ND4	MT-ATP6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000063177', 'ENSG00000148303')	0.8896448173868077	1	RPL18	RPL7A	ribosomal protein L18	ribosomal protein L7a
('ENSG00000204525', 'ENSG00000234745')	0.8887023214827399	1	HLA-C	HLA-B	major histocompatibility complex, class I, C	major histocompatibility complex, class I, B
