Gene,Top_1,Top_2,Top_3,Top_4,Top_5,Score_1,Score_2,Score_3,Score_4,Score_5
TUBGCP3,TUBGCP2,TUBGCP4,EXOC6,ORC1,TUBGCP5,7.901544240990001,5.4037528788457,4.980919573364803,4.707315731940308,4.3340020837799775
IFT20,IFT57,CLUAP1,IFT172,IFT52,IFT22,7.871853094717647,7.538278239076172,7.461352583851951,7.370337156443392,7.313921225213372
TMEM67,CC2D2A,B9D1,B9D2,MKS1,IFT81,7.839523780172903,7.74128551543009,7.58012022682534,6.588552772723071,6.505382672583138
TMEM237,TCTN2,TCTN1,TMEM216,TCTN3,TRIM32,7.756117098555231,6.570782424246896,5.671558121903909,5.370707610128888,5.22715511032329
TCTN2,TMEM237,TCTN1,TMEM231,TMEM216,EVC2,7.756117098555231,7.002217492890111,5.222280218535789,5.183614076948278,5.099515557348176
BBS9,TTC8,BBS7,BBS5,BBS1,BBS2,7.7369700303626665,7.697963728490137,7.544936623715714,7.343053001853489,7.30462854030922
DNALI1,DRC1,RSPH1,DRC1,ZMYND10,RSPH9,7.736025336633142,7.6526396482781465,7.55686851402532,7.526943010030582,7.326557384250786
DRC1,DNALI1,DNALI1,RSPH9,B9D1,DNAI2,7.736025336633142,7.55686851402532,6.660894167424279,6.52605069581267,6.27460615423022
CFAP20,TBCC,IFT52,PDE6D,MAPRE1,IFT22,7.716654116739518,6.593240947409696,6.044336322995017,5.856332062735854,5.566282760425846
TBCC,CFAP20,TOPORS,IFT52,DNAAF2,TUBB2A,7.716654116739518,5.479273468352976,5.417221807069252,5.157350551028101,5.012357002136088
PLK1,TUBA1C,MAPRE1,NEK2,TTK,POC1A,7.689455024336402,6.508849967844561,5.2560014771059755,5.050103871678382,4.641245034549951
RAB10,ACTR3,ACTR2,RAB1A,RAB11A,ATP6V1D,7.680770414259169,7.006482991345714,6.7900131404024275,6.671056765258737,6.623540275377931
TUBB2A,TUBA1A,TUBB3,TUBB2B,TBCC,RAB1A,7.666557495219544,5.682081435415429,5.1535260027912395,5.012357002136088,4.911645300965567
SPAG6,ZMYND10,DNALI1,RSPH1,DNAI1,RSPH9,7.637117883328007,7.272803396460815,7.234112738006919,7.034803341650212,6.9888040466003645
ZMYND10,SPAG6,RSPH9,DNALI1,RSPH1,EFHC1,7.637117883328007,7.624037929252583,7.526943010030582,7.25670989656101,6.235064366455981
ARL3,DYNLT1,B9D1,EFHC1,IFT22,DNAL1,7.627009474015138,7.352351499802657,6.637913011525047,6.472594398364229,6.427797647855941
DYNLT1,ARL3,IFT20,TUBA1A,RAB1A,DNALI1,7.627009474015138,6.4600613866447265,6.313656211570026,5.631280297222633,5.2111880513900735
NUP62,NUP93,NUP35,NUP214,JADE1,NUP37,7.498663670276841,6.3332110815599085,5.91586212452457,5.373890411889162,5.309833025993257
NUP93,NUP62,NUP35,NUP214,NUP37,TNPO1,7.498663670276841,6.766259416248898,6.337222055200383,5.29401877690622,4.248453114230181
SUFU,GLI1,CROCC,RILPL1,TBC1D30,C2CD3,7.48033729672928,5.138038647968898,5.0904910697203105,4.117756661052942,4.007613289062034
GLI1,SUFU,GLI2,PARD6A,MYO15A,GLI3,7.48033729672928,4.820915615979221,3.786204607184536,2.6172505503182855,2.495886376034603
IFT74,IFT81,IFT22,IFT88,TRAF3IP1,CLUAP1,7.477865661368439,7.290156910507463,7.096727734887688,7.023780364428616,6.909064192147268
GLI2,GLI3,GLI1,EVC2,PARD6A,SMO,7.469920104636886,4.820915615979221,3.912176464369547,3.447736242668183,2.416726296112137
GLI3,GLI2,ABLIM3,PARD3,TBC1D30,PARD6A,7.469920104636886,3.341613770722988,3.250898077414919,2.811334862566389,2.603271527937687
TRAPPC3,ATP6V1D,RAB1A,MAPRE1,ARL2,ARF4,7.3653566152876095,7.357082698545833,7.071193282046136,6.27552934071216,6.174359126695037
EXOC3,EXOC5,EXOC4,EXOC6,HTT,TMEM138,7.239116374374633,7.222978864262713,5.114260924646723,4.077156113314286,4.028355686470787
RAB8A,MAPRE1,ACTR3,ACTR2,RANBP1,SNAP29,7.197959024452926,6.4678765839690024,5.279769847494082,5.121232644200679,5.104025345027557
AHI1,MKS1,CC2D2A,TMEM67,B9D1,B9D2,7.126940759250737,6.381573739720354,6.362994447416332,6.35960932794111,6.255841917562007
MKS1,AHI1,B9D1,CC2D2A,TMEM67,B9D2,7.126940759250737,6.738489538657056,6.663106333403617,6.588552772723071,6.499366030769512
TTC17,WDPCP,RFX3,BBS9,HTT,PCM1,7.1140689288769,6.98616607594359,6.366081903263496,6.303226490526498,6.2226117090697635
WDPCP,TTC17,AGBL4,EXOC4,INVS,FUZ,7.1140689288769,6.1878320332568055,5.998267028837675,5.590630641719656,5.520616060101953
EFHC1,IFT22,B9D1,DNAL1,ARL3,CLUAP1,7.088278852176936,7.014297778550889,6.879700678015974,6.637913011525047,6.583214921378307
NME5,RSPH1,ROPN1L,RSPH4A,RSPH9,RSPH3,7.070632804869474,6.973445093242395,6.943893081966463,6.9335656661273894,6.7157827459711905
IFT27,IFT22,IFT81,IFT20,IFT52,IFT57,7.069643203123009,6.77927397764382,6.665474517517444,6.527266984868929,6.38014710694007
RPGRIP1L,NPHP4,NPHP1,MKKS,CEP290,TRAF3IP1,7.0448762369280455,5.828104643488782,4.707636312611809,4.694309991248972,4.683198630974962
NPHP4,RPGRIP1L,NPHP1,TRAF3IP1,TMEM67,PTPDC1,7.0448762369280455,6.024088717495894,5.200483208759037,4.648878457444685,4.372977316453209
DNAI1,SPAG6,DNAI2,ZMYND10,DNAH10,CCDC40,7.034803341650212,6.373694048553288,6.100636151657214,6.0084749215296505,5.5900873992255615
DNAL1,HYDIN,EFHC1,ARL3,B9D1,DNALI1,7.033886735994721,6.879700678015974,6.427797647855941,6.197927168819625,6.060796745989672
HYDIN,DNAL1,RSPH1,DNALI1,DNAH7,SPEF2,7.033886735994721,6.944585537802019,6.348939594077494,6.186434140891122,6.134328006444303
RANBP1,RAN,VDAC3,SSNA1,RAB8A,MAPRE1,7.0094510198600855,6.175201345398792,5.458949030219308,5.121232644200679,4.811177012498666
TCTN1,TCTN2,TMEM237,TCTN3,TMEM216,IQCB1,7.002217492890111,6.570782424246896,5.442905135657415,5.170273038797698,4.922940753618966
RFX3,TTC17,EXOC4,IFT43,DYNC2H1,TTBK2,6.98616607594359,5.7694267575248865,4.911283314088864,4.902475327358911,4.656070141208224
ROPN1L,NME5,RSPH1,RSPH9,TEKT2,RSPH4A,6.973445093242395,6.779411032394331,6.455575267243061,6.4014565450500305,6.325346825301116
POC1A,B9D1,DNAAF2,DPCD,CFAP20,PDE6D,6.972045081431042,5.706224934938939,5.4847502415448135,5.025589247897322,5.0229598224629095
EXOC6B,EXOC4,GSK3B,TRAPPC9,HTT,PARD3,6.956034640388681,6.501276802573868,6.095077906306081,5.418743878032648,4.775680858863424
SDCCAG8,PCM1,TTC17,EXOC4,PIBF1,PAFAH1B1,6.930475543836965,5.465700986794295,4.753994057122766,4.727180376229586,4.279489544887015
PCM1,SDCCAG8,NIN,TTC17,PIBF1,CEP290,6.930475543836965,6.653692872747723,6.2226117090697635,5.630160249920752,5.625412169154444
DNAI2,SPAG6,RSPH9,DNAI1,DRC1,RSPH4A,6.882410583704038,6.439594141597874,6.373694048553288,6.27460615423022,5.920711123264768
NUP35,NUP93,NUP62,NUP37,NUP214,TBCC,6.766259416248898,6.3332110815599085,6.044716368239443,6.028583631541135,4.090130927180843
PTPDC1,ARL6,BBS5,IFT80,NPHP4,BBS1,6.761552597737182,4.55229435832143,4.456367510633482,4.372977316453209,4.2509675051063525
ARL6,PTPDC1,NME7,BBS2,DNAH9,IFT88,6.761552597737182,5.1170793683105185,5.006457649884409,4.902786512088443,4.5745403856371825
NIN,PCM1,SDCCAG8,ASAP1,SCLT1,VHL,6.653692872747723,4.24647205522748,3.721243590239417,3.7190290215051927,3.68356625682679
AK7,RSPH4A,DRC1,DNAI1,AGBL2,HYDIN,6.632012372268938,5.675433250133239,5.232296268271235,4.741314946110574,4.516753555032173
