,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
41,ABCB11,ABCB4,0.9418604651162791,ABCB1,0.9318181818181818,SEC13,0.9010989010989011,CHMP5,0.8764044943820225,CRNKL1,0.8723404255319149
42,ABCB4,ABCB1,0.9659090909090909,ABCB11,0.9418604651162791,SEC13,0.9130434782608695,CRNKL1,0.9042553191489362,ALG11,0.9010989010989011
43,ABCB5,PABPC4L,0.5,SRPK2,0.4931506849315068,CLTCL1,0.48717948717948717,PPP3R2,0.48484848484848486,SRPK1,0.4810126582278481
44,ABCB6,BCKDHA,0.7283950617283951,SLC33A1,0.7023809523809523,UBE2V1,0.6904761904761905,EIF3E,0.6896551724137931,EIF5A,0.6888888888888889
45,ABCB7,TUFM,0.9555555555555556,COQ5,0.9540229885057471,SLC25A3,0.945054945054945,CSE1L,0.945054945054945,OGDHL,0.9444444444444444
46,ABCB8,NPR1,0.7222222222222222,NPR2,0.7222222222222222,AIFM1,0.6981132075471698,HADHB,0.6792452830188679,SEPHS1,0.6779661016949152
47,ABCB9,KIFC3,0.625,ERGIC1,0.6086956521739131,CTSZ,0.6037735849056604,EEF2K,0.6,DPP7,0.6
48,ABCC1,ABCC3,0.978021978021978,ATP2B1,0.967032967032967,ARFGEF1,0.946236559139785,ATP2B2,0.945054945054945,PDCD11,0.9375
49,ABCC10,UBTD2,0.6458333333333334,WBP4,0.6410256410256411,UBTD1,0.6222222222222222,COPS8,0.6170212765957447,ORC3,0.6078431372549019
50,ABCC11,ABCC12,0.625,ABCC5,0.5952380952380952,KIF1C,0.38,RAB28,0.37777777777777777,PIK3CA,0.36538461538461536
51,ABCC12,ABCC5,0.782608695652174,ABCC11,0.625,PIK3CD,0.49206349206349204,SEC24C,0.48148148148148145,RAB14,0.47761194029850745
52,ABCC2,ABCC3,0.9120879120879121,ABCC1,0.9120879120879121,RAB1A,0.8936170212765957,ATP2B1,0.8804347826086957,PDCD11,0.875
53,ABCC3,ABCC1,0.978021978021978,RPF2,0.956989247311828,ATP2B1,0.9456521739130435,ATP2B2,0.945054945054945,PDCD11,0.9375
54,ABCC4,PACRG,0.7121212121212122,DNAI2,0.7121212121212122,DNAL1,0.6923076923076923,IFT88,0.6857142857142857,CETN2,0.6753246753246753
55,ABCC5,ABCC12,0.782608695652174,FBXO11,0.6037735849056604,ABCC11,0.5952380952380952,RAB28,0.58,DTWD1,0.5769230769230769
