Fold,Logistic Regression_AUROC_per_fold,Logistic Regression_AUPRC_per_fold,Random Forest_AUROC_per_fold,Random Forest_AUPRC_per_fold
0,0.898074204381062,0.9046330813341644,0.9418949309631898,0.9448387196405024
1,0.8715513862319533,0.8689333028900948,0.9189084458954557,0.9229978928237251
2,0.8997525990353621,0.8835998214279004,0.9314100209433971,0.9273174958299166
3,0.8823641018188497,0.8679039261874417,0.9782581788769498,0.9826810922237837
4,0.8013992787647303,0.8168707828451381,0.8687152692655339,0.9040011242981173
