Fold,Logistic Regression_AUROC_per_fold,Logistic Regression_AUPRC_per_fold,SVM_AUROC_per_fold,SVM_AUPRC_per_fold,Random Forest_AUROC_per_fold,Random Forest_AUPRC_per_fold
0,0.897954279762765,0.9048527409658365,0.902977058541989,0.9141717596101646,0.9417695139863267,0.947354468218933
1,0.8714913397200604,0.8685421455848543,0.5892043092718815,0.6148553966183878,0.9255934803070311,0.9294187688682152
2,0.8992963670486823,0.8825926458814078,0.6617983183919556,0.7143624016880985,0.9308910444970957,0.9313571208217177
3,0.8920430260454222,0.8779869165138032,0.17867016308979702,0.3961727817332127,0.9811340783829898,0.9840228549776631
4,0.8023205286313934,0.8160770567009893,0.5917717797518905,0.6775083427935682,0.8836858603079192,0.9058335631895149
