Fold,Logistic Regression_AUROC_per_fold,Logistic Regression_AUPRC_per_fold,Random Forest_AUROC_per_fold,Random Forest_AUPRC_per_fold
0,0.897954279762765,0.9048527409658365,0.9372854137382837,0.9460640172131201
1,0.8714913397200604,0.8685421455848543,0.9246398422818738,0.9288792633719478
2,0.8992963670486823,0.8825926458814078,0.9308247514268948,0.9271848432184091
3,0.8920430260454222,0.8779869165138032,0.9785115693968428,0.9833758418726646
4,0.8023205286313934,0.8160770567009893,0.8843660746199666,0.8997754341152442
