Gene,Community,Degree,Weighted_Degree,Betweenness
C2CD3,6,18,78.74718786037403,0.012264964636881147
GLI2,7,6,24.355222788858114,0.003294807659134035
PARD6A,7,13,39.85942043775513,0.045385544247024324
MYO15A,7,6,16.721092481265025,0.005709849922373642
GLI3,7,7,23.753332926853574,0.0018975332068311198
IFT74,2,5,35.79759486333948,1.7250301880282906e-05
SMO,7,23,63.23327698144581,0.06663791616353287
ABLIM3,7,6,16.33546203291725,0.0056753493186130766
PARD3,1,9,34.36103339994261,0.01174745558047266
ARL2,0,5,19.31857051230378,0.005502846299810247
HTT,1,9,42.99456945506917,0.002949801621528377
TMEM138,6,13,47.26208861985632,0.01757805761600828
SNAP29,7,9,31.33153741957217,0.012627220976367088
WDPCP,1,11,52.34356036303214,0.009987924788683803
RFX3,1,8,39.32221732665817,0.0029843022252889428
PCM1,1,13,63.365347949500006,0.0040365706399862
AGBL4,1,6,27.17555657512067,0.005295842677246853
INVS,1,7,32.05592233105963,0.0027945489046058308
FUZ,6,7,28.66134880992822,0.003846817319303088
ROPN1L,3,8,42.60807904192369,0.003536311885457996
IFT27,2,7,41.7097085861218,0.0007072623770915991
RPGRIP1L,2,9,39.336537115477185,0.00902190788338796
NPHP4,2,6,30.18380938424157,0.0010177678109366914
NPHP1,2,8,36.292766467859884,0.0028462998102466797
MKKS,6,9,30.814683864716436,0.011057443505261343
CEP290,6,14,65.06989692438702,0.004433327583232707
PTPDC1,2,5,24.394159288251657,0.0020872865275142318
DNAH10,3,6,30.382060943863106,0.00034500603760565814
CCDC40,3,13,54.114279780103665,0.01602553044678282
HYDIN,3,13,71.61182467966493,0.015749525616698293
DNAH7,3,8,43.11263557241435,0.0018112816974297052
SPEF2,3,7,37.943896647156485,0.0010695187165775401
VDAC3,0,6,34.89262137544087,0.0013110229429015008
SSNA1,0,6,28.943390195256683,0.005364843884767984
IQCB1,6,7,30.442612706644958,0.011799206486113508
IFT43,2,7,33.32207177815052,0.0027427979989649823
DYNC2H1,3,7,35.517479989698046,0.0014662756598240471
TTBK2,1,8,36.106612791745825,0.0053130929791271354
TEKT2,3,13,57.25543213383834,0.01074693807141625
DPCD,2,10,49.061559388992094,0.0077626358461273075
TRAPPC9,1,6,31.303605773950736,0.0010350181128169745
SDCCAG8,1,6,30.40331256409811,0.0013627738485423495
PIBF1,1,7,37.55928262443719,0.0020872865275142318
NIN,1,6,22.729813407817236,0.011971709504916337
ARL6,2,7,33.4573514823984,0.007607383129204762
NME7,3,7,37.374136177746436,0.0008452647921338624
DNAH9,3,11,55.60981963002343,0.002708297395204416
ASAP1,1,8,36.91293490968619,0.0026220458858030016
SCLT1,6,8,32.101782658008275,0.0035880627910988444
VHL,6,6,18.03774870498342,0.0037778161117819563
AK7,3,5,26.797810391816157,0.00024150422632396068
AGBL2,3,8,33.36106643676868,0.006037605658099017
PACRG,3,7,39.78784577846861,0.0007590132827324479
DNAH6,3,5,29.08766540481177,0.0
SPAG16,2,8,39.36309111087572,0.00308780403657064
DNAH5,3,8,44.700054712344695,0.0012592720372606521
DNAAF1,3,6,32.28316853884367,0.0006037605658099017
KIF3B,2,9,40.06608436786179,0.008211143695014663
ULK4,3,5,24.316541570619883,0.0010867690184578232
PDZD7,6,10,29.56250547526138,0.023581162670346732
USH2A,6,8,18.792495527248523,0.021166120407107126
PKD1,6,8,29.076743421834095,0.009280662411592203
RAB15,6,5,15.955287666321114,0.0015007762635846128
POMK,6,9,27.440494078944386,0.011850957391754357
RPGRIP1,2,6,14.31346057552014,0.015594272899775748
DNAH11,3,6,29.22855602967959,0.00039675694324650684
SNAP25,1,6,16.192011020374192,0.017405554597205452
PCDH15,1,5,14.240559536206696,0.006744868035190616
UNC119B,2,6,31.687816455611888,0.0006037605658099017
TBC1D7,7,12,38.8047265725708,0.012954976712092463
CEP97,6,9,36.61684127711203,0.002708297395204416
PKD2,1,5,22.17105236770689,0.002070036225633949
CEP83,6,7,30.885164492974788,1.7250301880282906e-05
POC1B,2,6,26.676570845425232,0.003312057961014318
PCNT,6,8,32.20282749711404,0.0023115404519579094
CEP250,6,6,21.88876011365172,0.0027427979989649823
ODF2,6,7,25.105094042713567,0.0033638088666551667
KIAA0586,6,10,34.88366728776955,0.0037605658099016735
CEP89,6,12,38.8992202522012,0.012247714335000864
TUBGCP6,5,6,28.45901911411154,0.00044850784888735554
INPP5E,2,6,23.683622142283063,0.0015007762635846128
EHD1,2,7,26.72997571059964,0.009315163015352769
ATXN10,0,5,25.993246471424353,0.0008797653958944283
EVC,8,10,24.280329416576976,0.052561669829222016
MDM1,6,8,24.236691053576497,0.0038123167155425224
AKAP3,8,8,18.129452433567028,0.005433845092289115
FBF1,6,8,24.297019814269618,0.012816974297050199
FNBP1L,1,7,26.361422266309155,0.0100914265999655
TRIP11,2,7,30.963743426965408,0.0011557702259789547
CTNNB1,1,6,22.458705398771748,0.005175090564084872
CCP110,6,9,33.84650896666649,0.0036915646023805418
SNX10,6,6,18.77919518229693,0.0056753493186130766
FOXJ1,3,5,22.6741464632574,0.00012075211316198034
FAM161A,6,6,19.859990792904835,0.0062446092806624125
ALMS1,6,12,41.80781896959345,0.01940658961531827
RAB11FIP3,6,8,28.008375373745885,0.007728135242366742
BBS10,6,10,36.58203780766185,0.0008452647921338624
STIL,6,10,37.10159296159148,0.0026737967914438505
CEP19,6,6,20.324762457748292,0.003657063998619976
BBS12,6,6,19.05201516269184,0.008625150940141452
SASS6,5,7,24.292883503645328,0.005140589960324306
HYLS1,6,7,24.942063409298612,0.0023115404519579094
XPNPEP3,5,8,30.27066944324705,0.004295325168190443
CEP135,6,7,24.311770056806214,0.0060548559599793005
ABLIM1,1,8,32.08083355769934,0.002225288942556495
PKD1L1,8,8,23.91368843623307,0.0022425392444367777
CBY1,6,13,44.59131122179311,0.03177505606348111
CEP162,6,7,24.76988631809805,0.007348628601000518
OFD1,6,5,17.589216157365325,0.003708814904260825
CEP164,2,6,24.222329883041805,0.003105054338450923
RAB3IP,6,6,16.000880589066714,0.018544074521304126
DVL1,7,10,30.77024608750038,0.009246161807831638
CEP104,2,5,21.298049119352278,0.0014662756598240471
DNAAF3,3,5,19.607867882144745,0.0011212696222183888
SPA17,2,11,35.28442048007999,0.05687424529929274
MNS1,2,5,17.852194023397928,0.003277557357253752
SPAG17,6,7,28.0487982791411,0.004502328790753838
TTC29,6,5,17.03892621459467,0.008711402449542868
LCA5,6,5,17.50428734372807,0.002604795583922719
KIF3C,2,5,19.775997742182668,0.0032430567534931865
TUBE1,2,5,19.381522567114764,0.0037950664136622396
ARL13B,2,6,24.76688547891084,0.0011557702259789547
TULP3,2,7,22.571447535040264,0.017767810936691393
CEP41,2,6,22.059205246713795,0.009625668449197862
STK38L,1,6,21.282142966582974,0.010608935656373988
BBIP1,6,8,27.25156285807153,0.023236156632741076
EHD3,5,5,16.641434793559245,0.0034328100741762985
NEK1,1,5,22.86209486236004,0.000724512678971882
SPATA7,6,8,24.980267853144504,0.003156805244091772
TTLL9,3,7,24.53395833010466,0.022735897878212872
DNAH1,2,8,29.05618609001674,0.00848714852509919
DNAH2,3,6,22.695573162463944,0.005554597205451096
OCRL,5,7,23.341322479300327,0.0072796273934793865
RP2,5,4,17.100667616727687,0.0013282732447817839
NEK4,6,4,12.407798905612303,0.0040365706399862
PRKACA,5,8,25.76869052044051,0.013679489391064345
TTLL3,2,5,17.818435060895233,0.002225288942556495
CEP131,2,5,17.686949389140647,0.003329308262894601
MYO7A,7,7,16.439281683753208,0.025547697084698985
STK36,2,9,27.681503786915854,0.057667759185785754
TRAPPC10,1,6,18.70288340547758,0.007314127997239952
SYNE2,1,7,19.358922211855848,0.012437467655683975
ZNF423,6,6,13.155230712437156,0.005847852337415905
TTC12,2,5,18.294517617279197,0.002777298602725548
INTU,7,7,24.91467832535382,0.007521131619803347
MLF1,7,6,17.96115187325011,0.0107986889770571
TEKT4,3,5,16.48612929265065,0.009056408487148527
CATIP,2,7,22.930564473739672,0.004864585130239779
STOML3,3,6,18.21212723681498,0.005606348111091944
CCSAP,6,7,18.80788451290132,0.010850439882697948
RILPL2,6,5,13.178693905674923,0.004053820941866483
AK8,3,5,17.114818933986527,0.002035535621873383
RP1,6,8,16.914547093834233,0.09880972917026049
SHH,7,5,12.181106300166942,0.0020527859237536657
ADCY10,5,5,12.966636903543142,0.008142142487493531
PROM1,6,5,14.319851484558466,0.0058651026392961885
CCDC28B,7,5,15.803815172620254,0.0017422804899085735
DZIP1L,2,5,17.678041989674874,0.002035535621873383
RTTN,6,5,16.077079331325617,0.0018802829049508368
PTPN23,5,7,21.242509754680682,0.015542521994134898
MARK4,5,4,12.37357950224246,0.0035880627910988444
MAK,6,5,14.326254213157924,0.01364498878730378
RAB23,2,5,15.375835655973884,0.007348628601000518
GPR161,6,4,12.721114698328059,0.0010867690184578232
CEP72,6,5,14.587861778282804,0.002208038640676212
RPGR,2,5,14.513163148793783,0.0070036225633948596
DZIP1,2,5,17.19032410271495,0.005002587545282043
LZTFL1,6,5,16.151013154777804,0.004899085734000346
GSN,1,5,13.840797721374305,0.014335000862515095
FLNA,1,5,14.523696331896108,0.008866655166465414
AVIL,2,7,17.243772986059604,0.03258582025185441
SSX2IP,6,5,14.858671952344102,0.008004140072451269
KIF27,2,6,18.22505156041165,0.01764705882352941
NPHP3,5,6,14.872697186812013,0.06232534069346214
STX3,7,5,10.293785662552963,0.009039158185268244
PARVA,2,5,14.310070843278574,0.012972227013972746
SPTBN5,2,6,14.01421316971379,0.021217871312747976
HTR6,6,5,12.644036664124016,0.003294807659134035
ADCY3,7,5,12.167266082080332,0.010419182335690875
TTLL6,3,6,15.890437814037544,0.010608935656373988
MCHR1,6,5,11.855492019047386,0.003657063998619976
DRD1,7,6,12.433417629941697,0.02249439365188891
DRD5,7,5,8.914379649010417,0.009246161807831638
PLA2G3,7,9,18.36126678020331,0.016646541314473004
CDH23,7,6,10.58044309411229,0.010764188373296533
NME8,6,5,9.881075273696066,0.015508021390374332
NINL,6,5,11.90345275194552,0.005416594790408832
KIF7,6,5,12.880550475749487,0.003846817319303088
CCDC13,2,6,14.837494291688825,0.01638778678626876
SSTR3,7,4,8.44923079443835,0.003329308262894601
GLIS2,7,6,13.24720645498327,0.006865620148352597
NEK8,2,5,13.50073148790017,0.0075728825254441955
GNAT1,6,5,5.864256724708834,0.07929963774366051
GNAT2,6,5,8.646459368722011,0.02083836467138175
RHO,6,6,7.98575339857237,0.022235639123684665
TULP1,6,7,12.472730322068355,0.06800069001207522
KIF24,3,5,12.094032114274022,0.012454717957564258
DCDC2,6,6,11.946274660446978,0.019372089011557705
HNF1B,6,8,14.52900673001692,0.05461445575297568
USH1G,7,4,9.87737583097648,0.006503363808866656
HAP1,6,5,8.53456852376334,0.008159392789373814
PTCH1,7,5,11.633722878382166,0.007641883732965328
RAB17,6,8,17.173351746305467,0.024202173538036918
CABYR,8,6,11.85555007740928,0.0036225633948594104
MAL,6,6,12.171683253069515,0.014076246334310852
TAS2R43,8,8,15.175786813891778,0.04636881145420045
NOTO,8,5,9.487995734132637,0.001293772641021218
HAVCR1,8,7,14.301102127654193,0.006089356563739866
CRB3,8,5,9.270837907280173,0.016405037088149044
KIF19,2,5,9.633560232067676,0.02879075383819217
MCIDAS,8,5,8.968188949124983,0.004381576677591858
KIF17,2,5,10.413223559176412,0.012264964636881147
AKAP4,8,5,8.802241044335085,0.0046575815076763845
DISC1,8,5,8.635891435351432,0.015145765050888391
CNGB1,6,5,7.238870426286675,0.02723822666896671
CCNO,6,5,7.865707034897157,0.02723822666896671
CLDN2,6,5,8.03211663239497,0.00457132999827497
PKD2L1,7,4,5.0951517338730525,0.028687252026910474
DRD2,7,5,6.047066845305461,0.06018630326030706
OXCT2,6,5,7.584071643356978,0.030015525271692257
SCNN1A,6,5,7.151296577442946,0.03979644643781267
UMOD,6,5,5.058460004906136,0.06808694152147664
PGAM4,5,3,4.086488703891271,0.021269622218388823
CNGA4,2,5,7.886896086383911,0.02321890633086079
CNGA2,2,5,6.575687213705381,0.03948594100396757
USH1C,7,5,7.297976722306006,0.020286355011212696
TEKT5,7,5,8.05689468940839,0.01680179403139555
SLC47A2,0,5,5.364515002675351,0.05744350526134208
ROPN1B,6,4,4.177560674885111,0.02232189063308608
PKHD1,6,4,2.2563921592715395,0.08407797136449889
NGFR,6,5,4.632245387977047,0.03413834742107987
TPPP2,2,5,3.690547683082748,0.06622390891840607
