Gene_1,Gene_2,Phylogenetic_Jaccard_Similarity
HTR6,ADCY3,0.42857142857142855
HTR6,AHI1,0.38095238095238093
HTR6,ALMS1,0.875
HTR6,ARL13B,0.2857142857142857
HTR6,ARF4,0.22950819672131148
HTR6,ARL3,0.23529411764705882
HTR6,ARL6,0.29411764705882354
HTR6,ASAP1,0.39473684210526316
HTR6,ATXN10,0.3684210526315789
HTR6,B9D1,0.25
HTR6,B9D2,0.22033898305084745
HTR6,BBS12,0.7894736842105263
HTR6,BBS1,0.23728813559322035
HTR6,BBS10,0.8333333333333334
HTR6,BBS2,0.2807017543859649
HTR6,BBS4,0.25
HTR6,BBS5,0.24193548387096775
HTR6,BBS7,0.2542372881355932
HTR6,C2CD3,0.5357142857142857
HTR6,CC2D2A,0.25806451612903225
HTR6,CDH23,0.625
HTR6,C2orf71,0.7647058823529411
HTR6,CBY1,0.625
HTR6,CCDC103,0.48148148148148145
HTR6,CCDC114,0.20588235294117646
HTR6,CCDC28B,0.4642857142857143
HTR6,CCDC37,0.30434782608695654
HTR6,CCDC40,0.1694915254237288
HTR6,CCDC39,0.2807017543859649
HTR6,CEP104,0.23076923076923078
HTR6,CEP164,0.3684210526315789
HTR6,CEP290,0.4444444444444444
HTR6,CENPJ,0.23809523809523808
HTR6,CEP41,0.4
HTR6,CEP72,0.5652173913043478
HTR6,CEP83,0.631578947368421
HTR6,CEP89,0.7619047619047619
HTR6,CEP97,0.5161290322580645
HTR6,C8orf37,0.4
HTR6,CLDN2,0.6111111111111112
HTR6,CLUAP1,0.23880597014925373
HTR6,CNGA2,0.3137254901960784
HTR6,CNGA4,0.3181818181818182
HTR6,CNGB1,0.3684210526315789
HTR6,CCP110,0.7368421052631579
HTR6,CEP131,0.29545454545454547
HTR6,CEP135,0.35135135135135137
HTR6,CEP250,0.5789473684210527
HTR6,CROCC,0.46875
HTR6,CRB3,0.5
HTR6,CTNNB1,0.45714285714285713
HTR6,C21orf2,0.2777777777777778
HTR6,DNAAF1,0.2222222222222222
HTR6,DNAAF3,0.24
HTR6,DCDC2,0.5714285714285714
HTR6,DISC1,0.625
HTR6,DNAI1,0.2153846153846154
HTR6,DNAI2,0.25
HTR6,DNAL1,0.26229508196721313
HTR6,DPCD,0.375
HTR6,DPYSL2,0.24528301886792453
HTR6,DRC1,0.2631578947368421
HTR6,DRD1,0.64
HTR6,DRD2,0.56
HTR6,DRD5,0.5555555555555556
HTR6,DVL1,0.3611111111111111
HTR6,DNAH10,0.2459016393442623
HTR6,DNAH11,0.21818181818181817
HTR6,DNAH1,0.19298245614035087
HTR6,DNAH2,0.22033898305084745
HTR6,DNAH5,0.21212121212121213
HTR6,DNAH6,0.22033898305084745
HTR6,DYNC2H1,0.23809523809523808
HTR6,DYNLT1,0.21333333333333335
HTR6,DYX1C1,0.2916666666666667
HTR6,EFHC1,0.21739130434782608
HTR6,EVC,0.75
HTR6,EXOC6B,0.21739130434782608
HTR6,EXOC3,0.3333333333333333
HTR6,EXOC4,0.234375
HTR6,EXOC6,0.234375
HTR6,EXOC5,0.2318840579710145
HTR6,FAM161A,0.48
HTR6,FBF1,0.7368421052631579
HTR6,FLNA,0.26
HTR6,FOPNL,0.3409090909090909
HTR6,FOXJ1,0.41025641025641024
HTR6,WDPCP,0.5161290322580645
HTR6,RPGRIP1L,0.4411764705882353
HTR6,FUZ,0.41935483870967744
HTR6,GAS8,0.25
HTR6,TUBGCP2,0.18292682926829268
HTR6,TUBGCP4,0.27586206896551724
HTR6,TUBGCP3,0.17204301075268819
HTR6,TUBGCP5,0.375
HTR6,TUBGCP6,0.4411764705882353
HTR6,GLI1,0.40540540540540543
HTR6,GLI2,0.39473684210526316
HTR6,GLI3,0.41025641025641024
HTR6,GLIS2,0.5833333333333334
HTR6,GPR161,0.7894736842105263
HTR6,GPR98,0.6956521739130435
HTR6,GSK3B,0.16
HTR6,HAP1,0.4117647058823529
HTR6,HTT,0.37209302325581395
HTR6,HEATR2,0.2857142857142857
HTR6,HNF1B,0.65
HTR6,HSPA8,0.14705882352941177
HTR6,HYDIN,0.2542372881355932
HTR6,HYLS1,0.631578947368421
HTR6,DNALI1,0.25396825396825395
HTR6,IFT122,0.21212121212121213
HTR6,IFT140,0.24615384615384617
HTR6,IFT172,0.24242424242424243
HTR6,IFT20,0.3018867924528302
HTR6,IFT22,0.2641509433962264
HTR6,HSPB11,0.5
HTR6,IFT27,0.3333333333333333
HTR6,IFT46,0.24615384615384617
HTR6,IFT52,0.22388059701492538
HTR6,IFT43,0.5
HTR6,IFT57,0.25
HTR6,IFT80,0.2153846153846154
HTR6,IFT74,0.27450980392156865
HTR6,IFT81,0.23333333333333334
HTR6,IFT88,0.2318840579710145
HTR6,INPP5E,0.30434782608695654
HTR6,INTU,0.46875
HTR6,INVS,0.4666666666666667
HTR6,IQCB1,0.7142857142857143
HTR6,JADE1,0.3333333333333333
HTR6,AK7,0.32
HTR6,AK8,0.3018867924528302
HTR6,KIF19,0.24193548387096775
HTR6,KIF17,0.2553191489361702
HTR6,KIF24,0.23529411764705882
HTR6,KIF3B,0.23076923076923078
HTR6,KIF3A,0.2028985507246377
HTR6,KIF3C,0.21311475409836064
HTR6,KIF27,0.375
HTR6,KIF7,0.5652173913043478
HTR6,DNAAF2,0.2830188679245283
HTR6,EVC2,0.8235294117647058
HTR6,LCA5,0.6818181818181818
HTR6,PAFAH1B1,0.20967741935483872
HTR6,LZTFL1,0.4411764705882353
HTR6,MAK,0.189873417721519
HTR6,MAL,0.7647058823529411
HTR6,MAPRE1,0.15789473684210525
HTR6,MCHR1,0.8235294117647058
HTR6,MDM1,0.7647058823529411
HTR6,TRAF3IP1,0.2222222222222222
HTR6,MKKS,0.6666666666666666
HTR6,MKS1,0.36363636363636365
HTR6,TMEM67,0.2631578947368421
HTR6,MLF1,0.4666666666666667
HTR6,MNS1,0.42105263157894735
HTR6,MYO15A,0.3333333333333333
HTR6,MYO7A,0.37209302325581395
HTR6,NME5,0.3125
HTR6,NME7,0.234375
HTR6,NEK1,0.24615384615384617
HTR6,NEK2,0.25862068965517243
HTR6,NEK4,0.29411764705882354
HTR6,NEK8,0.3409090909090909
HTR6,NINL,0.4
HTR6,NIN,0.65
HTR6,NOTO,0.5625
HTR6,NPHP1,0.52
HTR6,NPHP3,0.2909090909090909
HTR6,NPHP4,0.35714285714285715
HTR6,NUP214,0.3333333333333333
HTR6,NUP37,0.5
HTR6,NUP35,0.3137254901960784
HTR6,NUP62,0.22727272727272727
HTR6,NUP93,0.2222222222222222
HTR6,OCRL,0.20833333333333334
HTR6,ODF2,0.625
HTR6,OFD1,0.5333333333333333
HTR6,ORC1,0.16494845360824742
HTR6,PACRG,0.25
HTR6,PARD6A,0.35
HTR6,PARD3,0.4166666666666667
HTR6,PCDH15,0.625
HTR6,PCM1,0.7272727272727273
HTR6,PDE6D,0.2692307692307692
HTR6,PDZD7,0.7894736842105263
HTR6,PIBF1,0.45714285714285713
HTR6,PKD1L1,0.8125
HTR6,PKD1,0.7894736842105263
HTR6,PKD2,0.38461538461538464
HTR6,PKHD1,0.3793103448275862
HTR6,PLK1,0.1744186046511628
HTR6,POC1A,0.24193548387096775
HTR6,PTCH1,0.35714285714285715
HTR6,BBS9,0.2830188679245283
HTR6,PTPDC1,0.2727272727272727
HTR6,RAB17,0.5882352941176471
HTR6,RAB23,0.2692307692307692
HTR6,RAB3IP,0.4117647058823529
HTR6,RAB8A,0.2077922077922078
HTR6,RANBP1,0.23880597014925373
HTR6,RAN,0.14423076923076922
HTR6,RAB11A,0.1485148514851485
HTR6,RAB11FIP3,0.46875
HTR6,RFX3,0.2916666666666667
HTR6,RILPL1,0.4411764705882353
HTR6,RILPL2,0.7647058823529411
HTR6,ROPN1L,0.4411764705882353
HTR6,RP1,0.7777777777777778
HTR6,RPGRIP1,0.55
HTR6,RPGR,0.42857142857142855
HTR6,RSPH4A,0.2727272727272727
HTR6,RSPH3,0.25
HTR6,RSPH9,0.24561403508771928
