,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
39,ABCB1,ABCB4,3.6211532132675086,SEC13,3.5132561843361687,ABCB11,3.4395704084806193,ARFGEF2,3.3974642508488775,PCID2,3.3974642508488775
40,ABCB10,UCHL3,2.8342943925243245,HIBCH,2.7007162372787974,PLAA,2.7007162372787974,DBT,2.661358387965383,IDH1,2.6394929161245972
41,ABCB11,ABCB4,3.493059916867455,ABCB1,3.4395704084806193,SEC13,3.275946342628698,CHMP5,3.1444133400255274,CRNKL1,3.122766366086474
42,ABCB4,ABCB1,3.6211532132675086,ABCB11,3.493059916867455,SEC13,3.3395682841052317,CRNKL1,3.2927587790784547,ALG11,3.275946342628698
43,ABCB5,PABPC4L,1.1395215478466973,SRPK2,1.1030391578438519,CLTCL1,1.0712339973285512,PPP3R2,1.0588180790525246,SRPK1,1.0383868211299492
44,ABCB6,BCKDHA,2.3560516144847825,SLC33A1,2.2174893095974326,UBE2V1,2.1540794412591544,EIF3E,2.1497063468909974,EIF5A,2.145624792147384
45,ABCB7,TUFM,3.566005842924824,COQ5,3.557842733437597,SLC25A3,3.510075087262342,CSE1L,3.510075087262342,OGDHL,3.50682329914243
46,ABCB8,NPR1,2.323172423494564,NPR2,2.323172423494564,AIFM1,2.1947574700044647,HADHB,2.0942588107513442,SEPHS1,2.087445342327404
47,ABCB9,KIFC3,1.8053251653986222,ERGIC1,1.718481215283154,CTSZ,1.6922641737388613,EEF2K,1.672164441888237,DPP7,1.672164441888237
48,ABCC1,ABCC3,3.6856716457375747,ATP2B1,3.627139459579164,ARFGEF1,3.516368870720236,ATP2B2,3.510075087262342,PDCD11,3.4698342092784347
49,ABCC10,UBTD2,1.9162924349906099,WBP4,1.8906846035463052,UBTD1,1.790529529453024,COPS8,1.762827062150627,ORC3,1.713940355146397
50,ABCC11,ABCC12,1.8053251653986222,ABCC5,1.6468004945529258,KIF1C,0.5003500749968494,RAB28,0.4885135662403706,PIK3CA,0.42250226740616265
51,ABCC12,ABCC5,2.6448166831814843,ABCC11,1.8053251653986222,PIK3CD,1.0972483022878448,SEC24C,1.0408839748760417,RAB14,1.0202731387329196
52,ABCC2,ABCC3,3.334478528787109,ABCC1,3.334478528787109,RAB1A,3.2360946414144607,ATP2B1,3.165880383874295,PDCD11,3.136932400502472
53,ABCC3,ABCC1,3.6856716457375747,RPF2,3.573642300187068,ATP2B1,3.5132561843361687,ATP2B2,3.510075087262342,PDCD11,3.4698342092784347
54,ABCC4,PACRG,2.2693701109651157,DNAI2,2.2693701109651157,DNAL1,2.1638348056188894,IFT88,2.128715493923843,CETN2,2.0733759724649814
55,ABCC5,ABCC12,2.6448166831814843,FBXO11,1.6922641737388613,ABCC11,1.6468004945529258,RAB28,1.565635863079929,DTWD1,1.549246850955574
56,ABCC6,TRAPPC3L,1.9786165179121367,TUBB3,1.9532815248546056,ENTHD1,1.7823664199657974,TUBB2A,1.7387448036434299,TCIRG1,1.715351703567281
57,ABCC8,ABCC9,3.041817597995054,BIVM,1.5690722688479393,ABCC5,1.1987040916290903,ANKIB1,1.1395215478466973,UBA6,1.1395215478466973
58,ABCC9,ABCC8,3.041817597995054,BIVM,1.3059724522346785,TTL,1.22022501664087,ABCC5,1.1987040916290903,KIF14,1.0675427783816245
59,ABCD1,ABCD2,3.041817597995054,ALDH18A1,2.4884223834064416,PGLS,2.4711287829505473,ADK,2.4711287829505473,PEX5,2.4542729951644224
60,ABCD2,ABCD1,3.041817597995054,ATP7B,2.711780692909074,SLC25A32,2.711780692909074,SLC25A20,2.6190851424065307,UCKL1,2.612122490196837
61,ABCD3,JMJD6,2.8040305917265096,MAP3K9,2.7812290979747316,ANAPC10,2.6394929161245972,CLCN7,2.6352995379633506,PTGES2,2.6190851424065307
62,ABCD4,YIPF4,1.8053251653986222,PDE3B,1.6468004945529258,EEF2K,1.6327094126999748,LRRC57,1.6095005720009974,SDR42E1,1.6026892817958627
63,ABCE1,EIF3I,3.363442909566529,EIF2S3,3.3233574134170114,CCT4,3.3233574134170114,PSMC5,3.3185152052893603,RPS15A,3.3185152052893603
64,ABCF1,CREBBP,2.6024140033128984,PUS10,2.5377091447057394,CFAP20,2.4711287829505473,TMEM65,2.43308286194758,CCNA2,2.4132328162069014
65,ABCF2,PGD,3.2816723173615863,DDX3X,3.2360946414144607,NAT10,3.1987079938835783,PKM,3.1924160352984656,MOCS3,3.1924160352984656
66,ABCF3,PUS3,3.179430503750467,NLE1,3.179430503750467,ELP3,3.0738562683133424,BMS1,3.033973078200628,AURKA,3.033973078200628
67,ABCG1,ABCG4,2.901340351214868,NPLOC4,1.9854837913244372,CNOT6L,1.9660363834283971,TBC1D23,1.9228199214371973,SLC30A3,1.910452052380505
68,ABCG2,DIMT1,2.9790614396396444,GUK1,2.9790614396396444,PUS3,2.9704814961144907,HSD17B12,2.9436345760519136,UBA1,2.941899017583221
69,ABCG4,ABCG1,2.901340351214868,CNOT6,1.8053251653986222,SACM1L,1.8053251653986222,PDHB,1.790529529453024,DUT,1.7491730530749658
70,ABCG5,ABCG8,1.573068089508416,TSN,1.1395215478466973,PCSK1,1.1395215478466973,USP22,1.0972483022878448,GNB5,1.0892722182201369
71,ABCG8,ABCG5,1.573068089508416,MSMO1,1.2419528736239167,RABEPK,1.1395215478466973,SERINC5,1.02855427825471,AADACL2,1.0184663446554383
72,ABHD1,ABHD3,3.163564545204549,ISYNA1,2.8467103108003506,CBS,2.674786360084077,SGPL1,2.674786360084077,GPT,2.661358387965383
73,ABHD10,DSEL,2.2808991779357117,ANKRD10,2.2808991779357117,KATNBL1,2.2808991779357117,SKAP2,2.2808991779357117,TMEM168,2.2808991779357117
74,ABHD11,FARS2,2.9583021616470773,OAT,2.8515879929802184,UPF2,2.8283892606613357,TCF25,2.800114099858557,GCH1,2.7759545355646815
75,ABHD12,RBPJ,2.896109815430499,FCHO2,2.7606086166687756,SNX33,2.7606086166687756,FRG1,2.7606086166687756,VCL,2.7606086166687756
76,ABHD12B,SH3GLB2,2.1752160640385805,PARD6A,2.120705826344271,ATRNL1,2.120705826344271,ABHD12,2.1079631733767696,SLC25A46,2.0752455508926455
77,ABHD13,TMEM30A,2.866221039519821,EIF1,2.8342943925243245,SEC13,2.818504583412421,ARFGEF2,2.80768885336141,TRAPPC5,2.80768885336141
78,ABHD14A,ABHD14B,2.350073579759288,RNF145,1.8053251653986222,SFRP2,1.7541095025100129,PIM3,1.7541095025100129,RASSF1,1.6327094126999748
79,ABHD14B,MST1R,2.5345386512888255,ABHD14A,2.350073579759288,RASSF1,2.311335914738085,PIM3,2.0982787571214696,MET,2.027259704582597
80,ABHD15,NRARP,2.5735601087277664,SOX17,2.1382269741745845,PTGIR,1.9004399679060402,CLIP3,1.8403674610592498,SNAP47,1.8053251653986222
81,ABHD16A,PHKG2,3.358866939686447,STIM1,3.226905862333813,ARFIP2,3.2109105802304634,PICK1,3.1198605128729358,FCHO2,3.1198605128729358
82,ABHD16B,PNPLA5,2.5599025986241375,ABHD16A,2.549458620309597,ATP6V1G3,2.4711287829505473,KCTD13,2.4711287829505473,ITPKC,2.43308286194758
83,ABHD17A,ABHD17C,3.003771676992087,ABHD17B,2.9262350531759136,RTEL1,2.684843524386967,TOP3B,2.58911929745342,KAT8,2.5782695949703966
84,ABHD17B,ABHD17C,3.330773960042906,ABHD17A,2.9262350531759136,TOP3B,2.9149978613184975,RTEL1,2.7634328101684655,ATP8B4,2.684843524386967
85,ABHD17C,ABHD17B,3.330773960042906,ABHD17A,3.003771676992087,TOP3B,2.993658204320412,CTSV,2.9684760635315035,RTEL1,2.9583021616470773
86,ABHD2,MLLT1,2.120705826344271,NOTCH1,2.027259704582597,FGFR1,1.9839554042540168,ARHGAP18,1.9805366437017606,ACBD5,1.9446794109327463
87,ABHD3,ABHD1,3.163564545204549,NPEPPS,2.905023275287757,CBS,2.884386200741397,SGPL1,2.884386200741397,D2HGDH,2.816360288347841
88,ABHD4,VPS28,3.07035203874728,GLDC,3.0326499061871104,BTF3L4,3.0136354342891525,GLUL,3.003771676992087,CHMP5,2.997578154968348
89,ABHD5,ABHD4,2.891636330878079,FBXL2,2.666431177432445,ADIPOR2,2.666431177432445,PDCD5,2.661358387965383,BTF3L4,2.6565424485979183
90,ABHD6,DDX59,2.3333763103535974,TTC33,2.1638348056188894,TXNL4B,2.1497063468909974,MKKS,1.9589721540644511,MX1,1.9589721540644511
91,ABHD8,ATXN2L,2.5243930723547012,UBL7,2.4132328162069014,INO80D,2.3686974571733277,FAM117B,2.350073579759288,BLOC1S6,2.350073579759288
92,ABI1,ABI2,3.3327569939000967,MYL6,3.1018901048418446,PLOD1,3.0829483234036674,TRAM1,3.0829483234036674,GRB2,3.0829483234036674
93,ABI2,ABI1,3.3327569939000967,LMNB2,3.041817597995054,FGFR1,3.019437644463897,CAMSAP1,2.9389907844735212,KCTD10,2.9389907844735212
94,ABI3,LRRC37A,2.9149978613184975,FAM186B,2.9149978613184975,KRT80,2.9149978613184975,HMGA1,2.9149978613184975,AMHR2,2.9149978613184975
95,ABI3BP,PTX3,3.802736018054397,PRDM15,3.802736018054397,FAM193B,3.802736018054397,OLFM4,3.802736018054397,OCLN,3.802736018054397
96,ABL1,ABL2,3.2109105802304634,CRKL,3.0829483234036674,TAOK1,2.983285411836643,ARRB1,2.8706109534817017,ARHGAP17,2.8706109534817017
97,ABL2,ABL1,3.2109105802304634,NRBP1,3.1940012820069223,ARHGAP17,3.1018901048418446,TEAD1,3.1018901048418446,CRKL,3.0629542207744804
98,ABLIM1,ABLIM2,3.2109105802304634,ABLIM3,2.884386200741397,L3MBTL3,2.771814287651416,KIAA0319L,2.7374502299713175,CCDC85A,2.7374502299713175
99,ABLIM2,ABLIM1,3.2109105802304634,FOXO4,2.884386200741397,SUDS3,2.7007162372787974,ABLIM3,2.7007162372787974,PHF14,2.6375796873385284
100,ABLIM3,ABLIM1,2.884386200741397,ALX1,2.7374502299713175,BRMS1L,2.7374502299713175,ABLIM2,2.7007162372787974,PAQR3,2.672887454935979
101,ABR,XIAP,3.0136354342891525,BCR,2.983285411836643,HAND1,2.983285411836643,SUFU,2.884386200741397,MSL3,2.8515879929802184
102,ABRA,LRIG1,3.092545492665677,FARP1,2.9704814961144907,MAB21L1,2.9704814961144907,RASSF8,2.9436345760519136,HS3ST3B1,2.884386200741397
103,ABRACL,OGFOD2,1.8403674610592498,RB1,1.6468004945529258,RPUSD4,1.4354342667586641,GBP4,1.4198599131317187,HEATR6,1.4112781264393195
104,ABT1,SEC63,3.2641083723944124,TIMM17A,3.251726127666597,RNF113A,3.2042608562099697,RPIA,3.1974600020981017,TIMM17B,3.1833838156805134
105,ABTB1,CYP1A1,1.5600290957742289,IBTK,1.5199807578763684,GNB5,1.5199807578763684,AGMAT,1.486897348308571,FTCD,1.4643038003110511
106,ABTB2,PDZD2,2.3686974571733277,SMO,2.2245348505239084,NOL4,2.2245348505239084,HMGXB4,2.2245348505239084,BCR,2.2245348505239084
107,ACAA1,PIR,2.6190851424065307,HLTF,2.4132328162069014,LSS,2.350073579759288,CYP51A1,2.2693701109651157,SLC47A1,2.2361392708733976
