,scGPT_bc_embeddings_similarities,scGPT_pancancer_embeddings_similarities,scGPT_CP_embeddings_similarities,scGPT_lung_embeddings_similarities,scGPT_heart_embeddings_similarities,scGPT_brain_embeddings_similarities,scGPT_kidney_embeddings_similarities,scGPT_human_embeddings_similarities,GF-6L30M_HUMANemb_similarities,GF-20L95M_HUMANemb_similarities,GF-12L95M_HUMANemb_similarities,GF-12L95MCANCER_UNIPROT_HUMANemb_similarities,GF-12L30M_HUMANemb_similarities,Correlation,Same_Complex,GeneAB,Random Forest_n10000 predictions,Random Forest_n10000 probabilities,Gene_A,Gene_B,Phylogenetic_Jaccard_Similarity,prob_z,jaccard_z,composite_score
14832,0.1748906821012497,0.1718827486038208,0.21417325735092163,0.12611642479896545,0.09798869490623474,0.23077332973480225,0.11634655296802521,0.21436133980751038,0.25683897733688354,0.14678078889846802,0.7059281468391418,0.7764266729354858,0.7051904201507568,0.0019687658613295124,0,MAPRE1_TUBA1C,1,0.8841,MAPRE1,TUBA1C,0.8737864077669902,2.16434756399357,2.1522332492112453,4.316580813204816
18155,0.19153200089931488,0.42961013317108154,0.4709562361240387,0.2722212076187134,0.15472455322742462,0.4632722735404968,0.108941949903965,0.47182923555374146,0.5280361771583557,0.3194320797920227,0.8617708683013916,0.8884063959121704,0.8039785623550415,0.32516529546980993,0,DNALI1_DRC1,1,0.8973,DNALI1,DRC1,0.8307692307692308,2.281197917141373,1.9078203513636354,4.189018268505008
5256,0.18148267269134521,0.2789493501186371,0.2831447720527649,0.04942531883716583,0.03603110834956169,0.2517227530479431,0.018704764544963837,0.28416261076927185,0.49339866638183594,0.20895352959632874,0.8576856255531311,0.9132322669029236,0.8696033954620361,0.11006640799803466,0,IFT140_CLUAP1,1,0.8248,IFT140,CLUAP1,0.9411764705882352,1.6394062047765432,2.5351268207984936,4.174533025575037
13477,0.08408293128013611,0.23676593601703644,0.2809726595878601,0.15931519865989685,0.09034869074821472,0.24477475881576538,0.09689855575561523,0.2805066704750061,0.2587853968143463,0.07557813823223114,0.7152856588363647,0.7710250616073608,0.7866601347923279,0.343323344329855,0,ARL3_DYNLT1,1,0.9216,ARL3,DYNLT1,0.7875,2.4963087945271023,1.661975346692699,4.158284141219801
15667,0.2533584535121918,0.4298226833343506,0.4956192672252655,0.33466413617134094,0.08447772264480591,0.3626985549926758,0.05251753702759743,0.49605220556259155,0.5274555087089539,0.28915923833847046,0.8169878125190735,0.8708652257919312,0.7668992877006531,0.08024062056491187,0,ZMYND10_RSPH9,1,0.9208,ZMYND10,RSPH9,0.7878787878787878,2.489226954942387,1.6641275251847676,4.153354480127154
28742,0.15261800587177277,0.37440359592437744,0.4043618440628052,0.18428555130958557,0.13357922434806824,0.5389361381530762,0.10158662497997284,0.4035690426826477,0.25397586822509766,0.2398986518383026,0.5276689529418945,0.6408138871192932,0.5718606114387512,0.01320255478974054,0,TUBA1A_TUBB2A,1,0.9064,TUBA1A,TUBB2A,0.81,2.3617538424175106,1.7898147491215861,4.151568591539097
28626,0.30524662137031555,0.45507052540779114,0.40471428632736206,0.2725435495376587,0.040025703608989716,0.29552334547042847,0.00024093780666589737,0.40656745433807373,0.5888345837593079,0.27776283025741577,0.8199860453605652,0.8767156004905701,0.7842006683349609,0.12603970682671095,0,RSPH1_DNALI1,1,0.9081,RSPH1,DNALI1,0.8059701492537313,2.376802751535031,1.7669181397313374,4.143720891266368
15645,0.24231556057929993,0.42583757638931274,0.4389047622680664,0.30528461933135986,0.10946265608072281,0.37401390075683594,0.08137325197458267,0.4392987787723541,0.6494635939598083,0.3025780916213989,0.805047869682312,0.8634532690048218,0.8391940593719482,0.15197905687792962,0,ZMYND10_SPAG6,1,0.9005,ZMYND10,SPAG6,0.8115942028985508,2.309525275480235,1.7988726133838582,4.1083978888640935
15609,0.34039920568466187,0.4266391396522522,0.519507646560669,0.2802572250366211,0.058039262890815735,0.5195515155792236,0.02471960335969925,0.5200129747390747,0.5580464005470276,0.26269012689590454,0.8001568913459778,0.8613868355751038,0.7481132745742798,0.34346550046435687,0,ZMYND10_DNALI1,1,0.8949,ZMYND10,DNALI1,0.8,2.259952398387228,1.7329972369309696,3.9929496353181975
21482,0.19153200089931488,0.42961013317108154,0.4709562361240387,0.2722212076187134,0.15472455322742462,0.4632722735404968,0.108941949903965,0.47182923555374146,0.5280361771583557,0.3194320797920227,0.8617708683013916,0.8884063959121704,0.8039785623550415,-0.016976650423441136,0,DRC1_DNALI1,1,0.8705,DRC1,DNALI1,0.8307692307692308,2.043956291053409,1.9078203513636354,3.9517766424170446
29316,0.13501715660095215,0.2567385137081146,0.34894078969955444,0.06692710518836975,0.15109941363334656,0.413973331451416,0.09579415619373322,0.34795549511909485,0.2806246280670166,0.11266479641199112,0.6657730937004089,0.7737727761268616,0.7272374033927917,0.2372952644889072,0,WDPCP_TTC17,1,0.9659,WDPCP,TTC17,0.6585365853658537,2.888465661530716,0.9292373083807871,3.8177029699115033
24524,0.24261200428009033,0.3830326199531555,0.4749690890312195,0.24218031764030457,0.025409691035747528,0.42418593168258667,-0.003589523956179619,0.4756163954734802,0.5533909797668457,0.34272122383117676,0.8561606407165527,0.8955679535865784,0.8207544088363647,0.1361333461714187,0,RSPH9_DNALI1,1,0.8763,RSPH9,DNALI1,0.7878787878787878,2.095299628042595,1.6641275251847676,3.759427153227363
15705,0.3387511968612671,0.5098880529403687,0.4074653387069702,0.4532819390296936,0.17409485578536987,0.35552626848220825,0.09540322422981262,0.41095465421676636,0.5827886462211609,0.2287643998861313,0.7593084573745728,0.848668098449707,0.7504472732543945,0.3568994761615047,0,ZMYND10_RSPH1,1,0.898,ZMYND10,RSPH1,0.7536231884057971,2.287394526778,1.4694957311194154,3.7568902578974153
20828,0.24777209758758545,0.39070725440979004,0.45757341384887695,0.271171897649765,0.185508131980896,0.3064154088497162,0.2587110698223114,0.45765605568885803,0.23447681963443756,0.22053903341293335,0.6255602240562439,0.6745838522911072,0.6440482139587402,0.5307062778610744,0,RANBP1_RAN,1,0.9727,RANBP1,RAN,0.6346153846153846,2.948661298000797,0.7933229968553912,3.741984294856188
20104,0.18972066044807434,0.33847877383232117,0.271683931350708,0.18715135753154755,0.059996508061885834,0.05587727949023247,0.05812999606132507,0.2729002833366394,0.29503583908081055,0.1781233847141266,0.8170393109321594,0.8521710634231567,0.7796666026115417,0.3669005778988411,0,EFHC1_IFT22,1,0.9456,EFHC1,IFT22,0.676056338028169,2.7087639820685636,1.0287801844275555,3.737544166496119
24408,0.26905980706214905,0.3268808126449585,0.2529100775718689,0.1656070500612259,0.15226341784000397,0.15770591795444489,0.11959508061408997,0.25300151109695435,0.00030212849378585815,0.12849923968315125,0.5625866651535034,0.6119049787521362,0.545222282409668,0.49700279554174376,0,RAN_ACTR3,1,0.8835,RAN,ACTR3,0.7714285714285715,2.159036184305033,1.570661487814923,3.729697672119956
14803,0.21585460007190704,0.22849717736244202,0.23650874197483063,0.09089280664920807,0.06292661279439926,0.3061904013156891,0.06477655470371246,0.23606784641742706,0.2593751549720764,0.2214365452528,0.8118902444839478,0.8481437563896179,0.8179898858070374,0.039288657728433755,0,MAPRE1_RAB8A,1,0.8974,MAPRE1,RAB8A,0.7448979591836735,2.282083147089463,1.4199211493500226,3.7020042964394855
