gene_name,complex_id
L3MBTL1,CPX-469
VTN,CPX-475
SERPINE1,CPX-475
EXOSC10,CPX-476
EXOSC9,CPX-476
EXOSC2,CPX-476
EXOSC7,CPX-476
EXOSC6,CPX-476
EXOSC8,CPX-476
EXOSC4,CPX-476
EXOSC5,CPX-476
EXOSC3,CPX-476
DIS3,CPX-476
EXOSC1,CPX-476
RBX1,CPX-477
CUL4A,CPX-477
DDB1,CPX-477
DDB2,CPX-477
ERCC4,CPX-478
FOS,CPX-480
JUN,CPX-480
NFATC2,CPX-480
BCL2L11,CPX-481
INTS3,CPX-482
NABP2,CPX-482
INIP,CPX-482
PLAU,CPX-483
SERPINE1,CPX-483
TERF2,CPX-484
SLX4,CPX-484
UBE2N,CPX-485
UBE2V1,CPX-485
FOS,CPX-486
JUN,CPX-486
PLAU,CPX-487
PLAUR,CPX-487
OSBP,CPX-489
VAPA,CPX-489
JUN,CPX-490
PLAT,CPX-494
SERPINE1,CPX-494
NR1I2,CPX-496
RXRA,CPX-496
MEN1,CPX-497
JUND,CPX-497
IL5,CPX-500
PLAU,CPX-501
VTN,CPX-501
PLAUR,CPX-501
HEXA,CPX-502
HEXB,CPX-502
MTOR,CPX-503
RPTOR,CPX-503
MLST8,CPX-503
MYB,CPX-504
CEBPB,CPX-504
JAK2,CPX-506
IL5,CPX-506
JAK1,CPX-506
TYK2,CPX-506
CSF2RB,CPX-506
IL5RA,CPX-506
RARA,CPX-508
RXRA,CPX-508
CEBPB,CPX-509
CEBPA,CPX-509
EME1,CPX-511
MUS81,CPX-511
JAK2,CPX-512
CSF2,CPX-512
CSF2RA,CPX-512
CSF2RB,CPX-512
RXRA,CPX-513
NCOA2,CPX-513
BIN1,CPX-514
MYC,CPX-514
CEBPG,CPX-516
NR1I2,CPX-517
NCOA1,CPX-517
GTF2A1,CPX-519
GTF2A2,CPX-519
IL1R2,CPX-522
IL1RAP,CPX-522
RARA,CPX-525
NCOA1,CPX-525
IL1RAP,CPX-527
TGFBR1,CPX-529
TGFBR2,CPX-529
UBE2N,CPX-530
UBE2V2,CPX-530
PCNA,CPX-538
NDC80,CPX-550
SPC24,CPX-550
NUF2,CPX-550
SPC25,CPX-550
IDH3B,CPX-553
IDH3A,CPX-553
IDH3G,CPX-553
UQCRQ,CPX-560
UQCR11,CPX-560
MT-CYB,CPX-560
UQCRH,CPX-560
CYC1,CPX-560
UQCRB,CPX-560
UQCRC2,CPX-560
UQCRC1,CPX-560
UQCR10,CPX-560
SDHD,CPX-561
SDHB,CPX-561
SDHA,CPX-561
SDHC,CPX-561
RBBP4,CPX-569
CHAF1A,CPX-569
CHAF1B,CPX-569
NDUFS8,CPX-577
NDUFAB1,CPX-577
NDUFA1,CPX-577
NDUFS4,CPX-577
NDUFB5,CPX-577
NDUFB3,CPX-577
NDUFC1,CPX-577
NDUFA2,CPX-577
NDUFS5,CPX-577
NDUFS7,CPX-577
NDUFS2,CPX-577
NDUFS6,CPX-577
NDUFB1,CPX-577
NDUFS3,CPX-577
NDUFB6,CPX-577
NDUFA3,CPX-577
NDUFB4,CPX-577
NDUFB8,CPX-577
NDUFB2,CPX-577
NDUFA7,CPX-577
NDUFC2,CPX-577
NDUFA10,CPX-577
NDUFB10,CPX-577
MT-ND1,CPX-577
MT-ND2,CPX-577
MT-ND3,CPX-577
MT-ND4L,CPX-577
MT-ND4,CPX-577
MT-ND5,CPX-577
MT-ND6,CPX-577
NDUFB7,CPX-577
NDUFV2,CPX-577
NDUFS1,CPX-577
NDUFV1,CPX-577
NDUFA8,CPX-577
NDUFV3,CPX-577
NDUFA6,CPX-577
NDUFA5,CPX-577
NDUFA9,CPX-577
NDUFA11,CPX-577
NDUFB11,CPX-577
NDUFA13,CPX-577
NDUFA12,CPX-577
NDUFB9,CPX-577
CDK7,CPX-578
CCNH,CPX-578
MNAT1,CPX-578
EME2,CPX-586
MUS81,CPX-586
EXOSC10,CPX-591
EXOSC9,CPX-591
EXOSC2,CPX-591
EXOSC7,CPX-591
EXOSC6,CPX-591
EXOSC8,CPX-591
EXOSC4,CPX-591
EXOSC5,CPX-591
EXOSC3,CPX-591
EXOSC1,CPX-591
EXOSC9,CPX-592
EXOSC2,CPX-592
EXOSC7,CPX-592
EXOSC6,CPX-592
DIS3L,CPX-592
EXOSC8,CPX-592
EXOSC4,CPX-592
EXOSC5,CPX-592
EXOSC3,CPX-592
EXOSC1,CPX-592
EXOSC9,CPX-593
EXOSC2,CPX-593
EXOSC7,CPX-593
EXOSC6,CPX-593
EXOSC8,CPX-593
EXOSC4,CPX-593
EXOSC5,CPX-593
EXOSC3,CPX-593
DIS3,CPX-593
EXOSC1,CPX-593
EXOSC10,CPX-600
EXOSC9,CPX-600
EXOSC2,CPX-600
EXOSC7,CPX-600
EXOSC6,CPX-600
DIS3L,CPX-600
EXOSC8,CPX-600
EXOSC4,CPX-600
EXOSC5,CPX-600
EXOSC3,CPX-600
EXOSC1,CPX-600
INTS3,CPX-614
NABP1,CPX-614
INIP,CPX-614
CEBPD,CPX-617
LIG4,CPX-618
XRCC4,CPX-618
SRPRA,CPX-630
SRPRB,CPX-630
VDR,CPX-631
RXRA,CPX-631
RXRA,CPX-632
NR1H3,CPX-632
DR1,CPX-642
DRAP1,CPX-642
RBX1,CPX-648
CUL4B,CPX-648
DDB1,CPX-648
DDB2,CPX-648
RXRB,CPX-652
NR1H2,CPX-652
THRB,CPX-654
RXRA,CPX-654
GYPC,CPX-658
EPB41,CPX-658
MPP1,CPX-658
GMNN,CPX-659
CDT1,CPX-659
GMNN,CPX-660
HOXC9,CPX-660
MCIDAS,CPX-661
GMNN,CPX-661
RXRA,CPX-662
MDM4,CPX-663
TP53,CPX-663
RXRA,CPX-664
CGA,CPX-665
FSHB,CPX-665
RARA,CPX-666
NCOA2,CPX-666
AKAP5,CPX-674
PPP3R1,CPX-674
PPP3CA,CPX-674
BTF3,CPX-676
NACA,CPX-676
C6,CPX-677
RXRA,CPX-678
NR1H2,CPX-678
MAGOHB,CPX-680
RBM8A,CPX-680
CASC3,CPX-682
EIF4A3,CPX-682
MAGOHB,CPX-682
RBM8A,CPX-682
HEXB,CPX-686
HEXA,CPX-687
SMARCA1,CPX-688
RBBP4,CPX-688
BPTF,CPX-688
RBBP7,CPX-688
PRMT5,CPX-696
CLNS1A,CPX-696
WDR77,CPX-696
PPARG,CPX-702
NCOA2,CPX-702
CNOT1,CPX-707
CNOT3,CPX-707
CNOT4,CPX-707
CNOT9,CPX-707
TNKS1BP1,CPX-707
CNOT10,CPX-707
CNOT2,CPX-707
CNOT7,CPX-707
CNOT11,CPX-707
CNOT6,CPX-707
KAT5,CPX-709
EPC1,CPX-709
ING3,CPX-709
PPARG,CPX-711
NCOA1,CPX-711
BRCA1,CPX-715
BARD1,CPX-715
RXRB,CPX-716
NR1H3,CPX-716
KAT7,CPX-718
JADE1,CPX-718
MEAF6,CPX-718
ING4,CPX-718
KAT7,CPX-719
MEAF6,CPX-719
JADE2,CPX-719
ING4,CPX-719
KAT7,CPX-720
JADE3,CPX-720
MEAF6,CPX-720
ING4,CPX-720
KAT7,CPX-721
JADE1,CPX-721
ING5,CPX-721
MEAF6,CPX-721
KAT7,CPX-722
ING5,CPX-722
MEAF6,CPX-722
JADE2,CPX-722
KAT7,CPX-723
ING5,CPX-723
JADE3,CPX-723
MEAF6,CPX-723
NXF1,CPX-725
NXT1,CPX-725
BRPF1,CPX-727
ING5,CPX-727
