Fold,Logistic Regression_AUROC_per_fold,Logistic Regression_AUPRC_per_fold,Random Forest_AUROC_per_fold,Random Forest_AUPRC_per_fold
0,0.9000861921640773,0.905912888030435,0.9375057435449302,0.9455238957238252
1,0.8736248228592893,0.8703022827811315,0.906842422550268,0.9166269604105398
2,0.9010112566638118,0.8852564823846127,0.9321224751753492,0.931032732104542
3,0.9101083047486104,0.8975388324666393,0.9764499993511035,0.9813695728043959
4,0.8179013064201915,0.8277135005570136,0.8714362762252486,0.8961623053793573
