Fold,SGD_AUROC_per_fold,SGD_AUPRC_per_fold,LinearSVC_AUROC_per_fold,LinearSVC_AUPRC_per_fold
0,0.8962269161230694,0.9037823757734009,0.8976404242749142,0.9046599460691329
1,0.8727819313254601,0.8696333123062248,0.872139552667722,0.8694568846536007
2,0.8997073463995686,0.8845746646428347,0.89864700271632,0.8845882159781967
3,0.8984328026310685,0.8854986646433555,0.8666834375513413,0.8527583626532002
4,0.8009156356844904,0.8189911797742088,0.8007147976742315,0.816263791902484
