,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
136,ACER2,TEF,6.368232688614068,MMP17,5.70773178865051,CELSR3,5.561252624706473,LLGL1,5.119937705334495,DLG4,5.037697698821619
137,ACER3,RNF130,7.3021233818605245,PSEN1,6.928646011263742,ATP6V1A,6.89529394800768,DOCK1,6.732571799240299,FKBP15,6.642135545866143
138,ACHE,SLC39A13,8.036993135645083,RORC,6.599401155831752,TOR3A,6.575468586784477,MCRS1,6.443915115940079,NIPA2,6.2457992600651355
139,ACIN1,THRAP3,9.272937534856457,BCLAF1,8.510026933116308,CHTOP,7.91585094115818,MDM4,7.799969512215001,SLTM,7.78102366414818
140,ACKR1,PLVAP,8.729915758726296,RNASE1,7.260500889258699,GNLY,7.071149935970872,CLEC14A,6.785050851606137,C7,6.540553702594365
141,ACKR2,LRRN4CL,5.376953291516879,LRRC14,4.943283492349935,SMPD1,4.892328668747802,TLE6,4.832082116709783,RADIL,4.828396425025986
142,ACKR3,PRRG3,7.0864480584201,THBD,6.284771281133465,ADAMTS5,5.240494531766844,VIT,4.961874028228243,SEMA3F,4.922394819339559
143,ACKR4,VTN,7.806456330942526,FBXO48,6.518192262566217,MATN4,6.386338124553076,F2RL2,6.253523649044866,LRRC17,6.120740305195953
144,ACLY,DDB1,9.374255629312982,CYB5B,9.206700593134004,PRPS1,8.9950382983663,XPOT,8.713737708194008,VPS4A,8.658639975416028
145,ACMSD,AMDHD1,4.629058562455079,ACSM2B,4.410034310213777,PDZK1,4.359496726518739,SCP2,4.16564748110926,ALDH8A1,4.103015296102772
146,ACO1,DOCK11,6.822513434256937,SEC23A,6.595355703767612,NUS1,6.239810514777127,KAT8,6.226560841432593,TM9SF4,6.169443747023868
147,ACO2,NDUFV1,9.832661028227443,TUFM,9.76668632230547,SAMM50,9.68123119192498,PDHA1,9.672990123528617,SDHB,9.578656126251147
148,ACOT1,ACOT2,9.968030609876426,TMEM150A,7.036548176045501,SLC46A1,6.961391959038189,TMEM150B,6.66844403165032,C19orf47,6.2692269561493035
149,ACOT11,AVPI1,4.7629934139960675,KATNAL2,4.621902951446147,GPR137B,4.513143359670875,SPATA2,4.203682560745699,SKIDA1,4.123040068985394
150,ACOT12,PPP1R3B,4.543905968374562,CYP3A43,3.8936094385183804,ACADL,3.8791744315863457,MAB21L3,3.581017120479438,LNX2,3.50977788891448
151,ACOT13,ETFB,8.94448570950727,MRPL27,8.775712922820892,MRPL27,8.775712922820892,RPL26L1,8.619240296839122,APIP,8.610440116310084
152,ACOT2,ACOT1,9.968030609876426,GAMT,8.759551964757442,MRPL10,8.54226867728558,ABHD14B,8.509347423334667,NUDT16L1,7.964123245757189
153,ACOT4,SNAP47,7.433621128094257,AVPI1,7.4262892511306875,MRPL10,7.376776145367494,ACOT2,7.2273223063972925,GNGT2,7.134681010449498
154,ACOT6,ZNF223,8.334367147167528,ZNF517,8.126197130681811,ZNF114,7.483697079799969,ZNF132,7.392033739207491,ZNF616,7.260963728827596
155,ACOT7,RMDN3,9.17607715532128,ITGB1BP1,8.959123906860867,PSMG1,8.431425419932314,MPHOSPH6,7.620784240374034,PDZD11,7.196545118029368
