Fold,Logistic Regression_AUROC_per_fold,Logistic Regression_AUPRC_per_fold,SVM_AUROC_per_fold,SVM_AUPRC_per_fold,Random Forest_AUROC_per_fold,Random Forest_AUPRC_per_fold
0,0.9174958494877592,0.928739948302609,0.9260329828741486,0.9348560288944736,0.9243686717359932,0.9328964149095056
1,0.9225249360032476,0.9332895405249555,0.9307476382989349,0.94057536432013,0.926411354093167,0.9365165900566077
2,0.9163396222048209,0.9273307378854821,0.9244738808033195,0.9326743833966278,0.925025619661499,0.9327155041201572
3,0.9179413737301643,0.9292053179779505,0.9261305718440489,0.9355172701950977,0.9244078457553178,0.934429358123269
4,0.9151835809852641,0.9276883154000142,0.9248019298353783,0.9356791592791492,0.9250093768625274,0.9346934143300294
