candidate_gene_1,candidate_gene_2,weighted_degree_1,betweenness_1,weighted_degree_2,betweenness_2,neighbor_type,shared_neighbors
RAB1A,RAB11A,58.577790342004505,0.0014662756598240471,62.715676661816,0.0006210108676901846,first,3
RAB1A,ATP6V1D,58.577790342004505,0.0014662756598240471,50.998125166940824,0.0045540796963946875,first,4
RAB1A,TRAPPC3,58.577790342004505,0.0014662756598240471,54.57473938941596,0.010212178713127481,first,3
RAB1A,ARF4,58.577790342004505,0.0014662756598240471,40.075295903176674,0.00015525271692254616,first,3
RAB1A,CSNK1D,58.577790342004505,0.0014662756598240471,25.037478372241942,0.002190788338795929,first,2
RAB1A,ARL2,58.577790342004505,0.0014662756598240471,19.31857051230378,0.005502846299810247,second,4
TRAPPC3,ATP6V1D,54.57473938941596,0.010212178713127481,50.998125166940824,0.0045540796963946875,first,4
TRAPPC3,RAB1A,54.57473938941596,0.010212178713127481,58.577790342004505,0.0014662756598240471,first,3
TRAPPC3,MAPRE1,54.57473938941596,0.010212178713127481,63.63130298168452,0.0022425392444367777,first,1
TRAPPC3,ARL2,54.57473938941596,0.010212178713127481,19.31857051230378,0.005502846299810247,first,2
TRAPPC3,ARF4,54.57473938941596,0.010212178713127481,40.075295903176674,0.00015525271692254616,first,2
TRAPPC3,RANBP1,54.57473938941596,0.010212178713127481,37.57942632346973,0.0007762635846127307,second,3
TRAPPC3,RAB11A,54.57473938941596,0.010212178713127481,62.715676661816,0.0006210108676901846,second,5
TRAPPC3,ACTR3,54.57473938941596,0.010212178713127481,68.63019330769473,0.023839917198550976,second,3
TUBB2B,TUBB2A,18.39485062279574,0.00593410384681732,33.08243822280735,0.001638778678626876,first,3
TUBB2B,TUBA1A,18.39485062279574,0.00593410384681732,37.86560013874067,0.00015525271692254616,first,3
TUBB2B,RAN,18.39485062279574,0.00593410384681732,55.31220488146019,0.0007590132827324479,first,1
TUBB2B,TUBB3,18.39485062279574,0.00593410384681732,21.500737286683616,5.1750905640848716e-05,first,3
TUBB2B,TBCC,18.39485062279574,0.00593410384681732,42.178578850732514,0.02154562704847335,first,2
RAN,HSPA8,55.31220488146019,0.0007590132827324479,30.22052270091735,0.0015007762635846128,first,3
RAN,TUBA1C,55.31220488146019,0.0007590132827324479,41.21944537393958,5.1750905640848716e-05,first,1
RAN,ACTR3,55.31220488146019,0.0007590132827324479,68.63019330769473,0.023839917198550976,first,2
RAN,RANBP1,55.31220488146019,0.0007590132827324479,37.57942632346973,0.0007762635846127307,first,2
RAN,RAB11A,55.31220488146019,0.0007590132827324479,62.715676661816,0.0006210108676901846,first,1
RAN,ARF4,55.31220488146019,0.0007590132827324479,40.075295903176674,0.00015525271692254616,second,3
RAN,MAPRE1,55.31220488146019,0.0007590132827324479,63.63130298168452,0.0022425392444367777,second,3
ACTR3,MAPRE1,68.63019330769473,0.023839917198550976,63.63130298168452,0.0022425392444367777,first,3
ACTR3,RAN,68.63019330769473,0.023839917198550976,55.31220488146019,0.0007590132827324479,first,2
ACTR3,TUBA1C,68.63019330769473,0.023839917198550976,41.21944537393958,5.1750905640848716e-05,first,2
ACTR3,RAB8A,68.63019330769473,0.023839917198550976,29.170863445144242,0.0008107641883732966,first,2
ACTR3,ARF4,68.63019330769473,0.023839917198550976,40.075295903176674,0.00015525271692254616,first,2
ACTR3,TRAPPC3,68.63019330769473,0.023839917198550976,54.57473938941596,0.010212178713127481,second,3
ACTR3,RANBP1,68.63019330769473,0.023839917198550976,37.57942632346973,0.0007762635846127307,second,4
ACTR3,DPYSL2,68.63019330769473,0.023839917198550976,26.373723417402317,0.0024667931688804557,second,3
ACTR3,ATP6V1D,68.63019330769473,0.023839917198550976,50.998125166940824,0.0045540796963946875,second,4
ACTR3,RAB11A,68.63019330769473,0.023839917198550976,62.715676661816,0.0006210108676901846,second,4
RAB11A,RAB1A,62.715676661816,0.0006210108676901846,58.577790342004505,0.0014662756598240471,first,3
RAB11A,ATP6V1D,62.715676661816,0.0006210108676901846,50.998125166940824,0.0045540796963946875,first,4
RAB11A,RAN,62.715676661816,0.0006210108676901846,55.31220488146019,0.0007590132827324479,first,1
RAB11A,ARF4,62.715676661816,0.0006210108676901846,40.075295903176674,0.00015525271692254616,first,2
RAB11A,VDAC3,62.715676661816,0.0006210108676901846,34.89262137544087,0.0013110229429015008,first,1
RAB11A,TRAPPC3,62.715676661816,0.0006210108676901846,54.57473938941596,0.010212178713127481,second,5
RAB11A,DPYSL2,62.715676661816,0.0006210108676901846,26.373723417402317,0.0024667931688804557,second,3
RAB11A,STK38L,62.715676661816,0.0006210108676901846,21.282142966582974,0.010608935656373988,second,3
RAB11A,PAFAH1B1,62.715676661816,0.0006210108676901846,54.39244767618859,0.0012075211316198034,second,3
RAB11A,RAB14,62.715676661816,0.0006210108676901846,35.123891026656764,0.0017250301880282906,second,3
RAB11A,ACTR3,62.715676661816,0.0006210108676901846,68.63019330769473,0.023839917198550976,second,4
TBCC,TUBB2A,42.178578850732514,0.02154562704847335,33.08243822280735,0.001638778678626876,first,2
TBCC,TUBA4A,42.178578850732514,0.02154562704847335,23.58195828851832,0.000914265999654994,first,1
TBCC,TUBB3,42.178578850732514,0.02154562704847335,21.500737286683616,5.1750905640848716e-05,first,3
TBCC,TUBB2B,42.178578850732514,0.02154562704847335,18.39485062279574,0.00593410384681732,first,2
TBCC,PARD6A,42.178578850732514,0.02154562704847335,39.85942043775513,0.045385544247024324,second,3
TBCC,TUBA1A,42.178578850732514,0.02154562704847335,37.86560013874067,0.00015525271692254616,second,3
