,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
40,ABCB10,FECH,7.344924685241093,ABCB7,6.850627979429329,LYRM7,6.538801288068008,CPOX,6.451421281148077,FXN,6.388027942794402
41,ABCB11,ABLIM3,7.108484666516575,MCC,6.96627798858806,AFMID,6.09761791979581,NBPF15,5.851754566991691,OAF,5.6949845545765205
42,ABCB4,ZFYVE19,5.318907858127015,C5,5.183554514074574,FBXO48,5.088464506544062,ARHGEF10L,4.619011136033062,CYP3A43,4.225801104893374
43,ABCB5,ABCC11,5.259797853445886,PRTG,3.7169410645949545,MYH11,3.6861010621526256,CLDN11,3.665541060524407,OCA2,3.3331543675348665
44,ABCB6,NPEPL1,5.026784501659405,PICK1,4.950541162288093,VARS2,4.865731155571689,DIABLO,4.8074778176250685,HAUS7,4.676407807245173
45,ABCB7,GNPAT,6.934581319411223,ABCB10,6.850627979429329,CLK3,6.756394638633325,FECH,6.747827971288234,NGLY1,6.5559346227581905
46,ABCB8,CCDC51,7.438301359302588,DHDDS,6.65359463049223,SPESP1,6.647597963350666,UBIAD1,6.506247952156661,METTL2A,6.479691283386878
47,ABCB9,C2CD3,6.657877964164776,SEC14L5,6.023944580628024,IDE,5.984537910840604,C11orf24,5.535644541957824,ZNF346,5.237524518348649
48,ABCC1,NUP98,5.084181172871515,QRICH1,4.7603611472270675,CARM1,4.509357794015894,KDM2A,4.4545311230073095,TCF7,4.336311113645051
49,ABCC10,IFFO1,6.678437965792995,C17orf50,6.110467920813446,TEFM,6.016234580017442,ARFRP1,5.922001239221438,POMGNT1,5.886021236372056
50,ABCC11,SLC5A10,6.63474796233303,ABCB5,5.259797853445886,FBXO48,4.6584178058204815,SIAH1,4.515354461157457,POTEE,4.296047777123122
51,ABCC12,WDR83,5.601607880515027,FBXO48,4.886291157199908,LNX2,4.750937813147467,OR51M1,4.47423445790102,POLR2J2,4.431401121175564
52,ABCC2,SLC25A18,5.622167882143246,MASP1,5.083324506137006,C5,4.7457978127404115,C4BPB,4.6695544733691,CYP2E1,4.547051130334295
53,ABCC3,RBM47,7.111911333454612,TCF7L2,5.679564553355356,L1TD1,5.497094538904913,IMPA2,5.400291197905383,SLCO2B1,5.2409511852866855
54,ABCC4,LPCAT2,6.126744588769119,ST6GAL1,5.431131200347711,ZNRF2,4.9428311616775105,PPP6R2,4.776637815182741,SORL1,4.596737800935824
55,ABCC5,CLTC,5.576764545214262,CLEC16A,5.477391204011203,DYNC1H1,5.129584509800499,CBFA2T2,5.063621171243297,PLEKHA1,5.04991450349115
56,ABCC6,SERPINF2,5.718114556408268,SORBS3,5.669284552541248,HPX,5.4988078723739315,SMLR1,5.452547868710439,GJB1,5.420851199533601
57,ABCC8,KCNJ11,7.780111386371727,PITPNM2,4.920557826580273,DDHD2,4.437397788317127,FBXO16,4.363724449149343,FAM193B,3.8976977455763797
58,ABCC9,PHLDB2,4.8014811504835055,KCNJ8,4.032194422894311,LNX2,3.982507752292783,GJC1,3.6492643925687336,MYH15,3.56445438585233
59,ABCD1,NAA60,6.694714633748668,TMEM127,6.602194626421682,TAF13,6.471981282776296,TAB1,6.430861279519858,NDST1,6.323777937706218
60,ABCD2,EED,4.8211844853772154,PLA2R1,4.505931127077857,TRIM52,4.332027779972505,LTN1,4.009921087797075,DIMT1,4.009064421062566
61,ABCD3,PTP4A1,5.944274574318676,TCF12,5.684704553762412,SLC35D1,5.557917877055061,UBL3,5.102171174296207,ACOX1,4.852024487819543
62,ABCD4,TMUB2,7.0159646591895894,GPR108,6.746114637819216,ATG9A,6.699854634155723,HMGCL,6.656164630695757,DMAP1,6.649311296819684
63,ABCE1,RSL1D1,7.665318043947505,RSL24D1,7.600211372124813,PAICS,7.517971365611936,CCT3,7.498268030718227,NOB1,7.463144694603352
64,ABCF1,EIF5B,7.763834718416055,PA2G4,7.688448045779252,HNRNPAB,7.65161137619536,SNRPB2,7.62162804048754,DDX46,7.590788038045211
65,ABCF2,NOP16,7.696158046389834,GNL2,7.384331355028513,GART,7.326078017081892,MRTO4,7.300378015046618,RABGGTA,7.2189946752682514
66,ABCF3,TBL2,7.191581339763959,BLOC1S4,7.035667994083299,DNAJC30,6.884894648809694,VRK3,6.832637978004637,KIAA1191,6.740974637412161
67,ABCG1,RMDN3,6.421437945440258,ESYT1,6.016234580017442,VAT1,5.935707906973585,GPCPD1,5.8526112337262,VAT1,5.843187899646599
68,ABCG2,ZDHHC3,5.136437843676572,SPPL2A,3.512197715047274,IFNGR1,3.34000770141094,CRYBB1,3.2312110261282805,GJA1,3.1558243534914787
69,ABCG4,RAB6C,5.697554554780048,TMCO5A,5.5938978799044445,CRX,5.591327879700917,C2orf68,5.473107870338658,TRIM41,5.3351845260826884
70,ABCG5,CYP3A43,5.499664539108441,GCKR,4.7535078133509945,ABCG8,4.625864469909135,PFKFB1,4.54276779666175,BCDIN3D,4.511071127484912
71,ABCG8,NBPF1,5.533074541754297,KCNU1,5.50052120584295,MIOX,4.906851158828127,FBXO48,4.735517811926303,CYP3A43,4.635287803988735
72,ABHD1,EIF2B4,6.469411282572769,LDHC,6.206414595078468,CNPY4,6.072774584495045,CCDC42,5.996531245123733,TOMM20L,5.802067896390161
73,ABHD10,C3orf38,7.292668014436036,TIMM22,6.9697046555260975,TMEM126A,6.655307963961248,HDHD2,6.630464628660484,CSE1L,6.578207957855427
74,ABHD11,BLOC1S4,6.858337980039911,ZDHHC12,6.759821305571362,TMEM179B,6.669014631713395,CYC1,6.531947954191935,LSR,6.491684617670006
75,ABHD12,PLD3,7.390328022170077,GLB1,7.248978010976072,CLPTM1,7.217281341799233,PRPSAP1,6.785521307606635,COMMD1,6.730694636598051
76,ABHD12B,ENPP5,4.154697765929117,CYP2J2,3.767484401930993,POMT2,3.6852443954181164,INPP5A,3.4128243738442148,GREM1,3.316877699579193
77,ABHD13,BROX,6.740117970677652,ABT1,6.6570212974302665,CLPX,6.650167963554194,HAUS3,6.6236112947844115,MED17,6.618471294377357
78,ABHD14A,ECH1,7.321794683409347,ARL2,7.297808014843092,SLC25A4,7.214711341595707,CTSF,7.033954660614281,STUB1,6.821501310456018
79,ABHD14B,TOMM22,7.747558050460381,SIGMAR1,7.688448045779252,POLR3GL,7.676454711496124,MRPL45,7.643901375584778,STOML2,7.625911374160086
80,ABHD15,MIXL1,6.00852457940686,RNPEPL1,5.982824577371586,TBC1D20,5.696697888045539,MCTP2,5.693271221107503,APOBR,5.564771210931134
81,ABHD16A,ATP6AP1,6.104471253671882,TM9SF1,6.059924583477407,MRPL38,5.733534557629431,GET4,5.59818121357699,NCSTN,5.472251203604149
82,ABHD16B,LYPD4,2.2160609457349696,CHUK,1.8896709198869936,PMS2,1.8862442529489571,NPHS1,1.7508909088965157,FBXO47,1.7286175737992782
83,ABHD17A,GNAI2,7.517114698877427,TAF10,7.497411363983717,CAPNS1,7.394611355842622,ORAI1,7.303804681984655,ALYREF,7.271251346073308
84,ABHD17B,POC1B,6.774384640058017,CEP97,6.681007965996522,TRIM59,6.381174608918329,RICTOR,6.141307923255774,MOSPD2,6.055641249804863
85,ABHD17C,RETSAT,4.135851097769915,LRRC8A,4.107581095531114,CDH26,4.083594426964859,NDFIP2,3.417107707516761,SCNN1D,3.3074543654995927
86,ABHD2,ZSWIM6,6.5756379576519,LPP,6.329774604847781,TRAK1,6.302361269343489,PEAK1,6.2235479297686505,ITCH,6.095904586326791
87,ABHD3,VTI1A,6.152444590804393,AHSA1,5.982824577371586,NOP56,5.772084560682342,TAF12,5.726681223753359,CLK1,5.664144552134192
