train_size,mean_auc,std_auc,mean_auprc,std_auprc
7842,0.941663350826903,0.0010788460683233084,0.9485832910624754,0.0007052820767475223
15686,0.9594976223326007,0.001610655207148012,0.9643264124405142,0.0009625996907325254
23528,0.9716185060197973,0.001291990405875416,0.9750112834446272,0.0009172528134044884
31372,0.9812835718053684,0.0008275415268629225,0.9834873010641582,0.0005658545079677911
39216,0.9880899593245784,0.0003241561231893685,0.9891683759042549,0.00026361587489587675
47058,0.9929993565525816,0.0004120186814424599,0.9933679903699144,0.00038029059600676025
54902,0.9958429740839426,0.0003149330091477057,0.9959992587667692,0.00013417779535379433
62744,0.9977298684319769,0.00015413425226255814,0.9976112114562415,0.00015353924554220133
70588,0.9988496021070266,0.0001734403473034579,0.9985929453725901,0.00019315242502697687
78432,0.9993195511058774,2.8552962153501437e-05,0.9991198208347978,5.629520024331123e-05
